Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554158,0,0.111504,3.59999e-06,0.102902,0,1.23285,0.000681999,0.0114137,0,0.0876581,3.52078e-06,, , 0.0570158,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693293,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52078e-06,0.0585562
2,14.3228,14.4149,11.3424,0.00730947,0.384414,0.439767,3.50293,0.000376018,3.46805,3.56011,9.61587,0.0070003,0.122384,0.177737,2.63448,2.30943e-05,, , 0.489957,6.25664,0.281557,15.039,8.87695,9.61587,0.0070003,0.0155217,0.158721,0.122412,0.0189872,0.00836733,0.51324,2.63448,2.30943e-05,0.920125
3,3.94383,3.98398,7.27408,0.0121703,0.124222,0.148908,2.80604,4.47088e-05,0.835625,0.87578,6.41591,0.0115519,0.04638,0.0710668,1.07651,3.96141e-06,, , 0.214068,1.37476,0.122576,5.19895,2.83585,6.41591,0.0115519,0.0293457,0.0696172,0.0396159,0.00821372,0.0073045,0.152882,1.07651,3.96141e-06,1.73961
4,5.81931,5.90598,7.76421,0.0258696,0.201041,0.250943,5.39276,7.3941e-05,1.0224,1.10906,6.41339,0.0246329,0.0864074,0.136309,1.93474,1.19765e-05,, , 0.425376,1.4674,0.238688,8.71495,4.15019,6.41339,0.0246329,0.0584488,0.134407,0.072218,0.0160915,0.0115958,0.228027,1.93474,1.19765e-05,3.46485
5,1.42552,1.45741,7.03567,0.0566707,0.0600141,0.0784656,7.62983,0.000215212,0.251696,0.283592,5.49984,0.0541973,0.0301009,0.0485525,0.715992,8.15709e-05,, , 0.15662,0.291019,0.0876438,6.27073,1.45379,5.49984,0.0541973,0.116473,0.0499495,0.0227841,0.0059198,0.017268,0.0652687,0.715992,8.15709e-05,6.90454
6,2.28458,2.35057,8.43804,0.0870432,0.102588,0.139331,15.2238,0.000121918,0.403108,0.469104,5.50067,0.0820964,0.0589839,0.0957271,1.39642,1.77779e-05,, , 0.311695,0.387537,0.172973,11.9448,2.43759,5.50067,0.0820964,0.232886,0.0985652,0.0443615,0.0117842,0.0309699,0.101966,1.39642,1.77779e-05,13.8055
7,0.4481,0.449852,9.57535,0.109344,0.0238063,0.0273766,49.3557,0.000202904,0.366519,0.368271,0.0128538,0.092414,0.0123205,0.0158908,0.192924,1.0655e-05,, , 0.00875508,0.72115,0.00488577,12.0317,0.252186,0.0128538,0.092414,0.827824,0.00961224,0.0174337,0.00116533,0.106011,0.0447805,0.192924,1.0655e-05,49.0734
8,0.027454,0.0276666,0.0180321,0.000181091,0.000486901,0.000511679,0.0602466,2.64318e-07,0.00177504,0.00198768,0.00206118,0.000160424,6.71372e-05,9.19157e-05,0.000227483,2.96397e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00206118,0.000160424,0.00101147,5.66117e-05,8.41608e-05,1.82804e-05,0.000319475,0.000672753,0.000227483,2.96397e-08,0.0599602
Total,35.9964,28.5903,53.2653,0.299278,0.951988,1.0853,84.0828,0.00103857,6.45208,6.66791,34.6935,0.272735,0.368057,0.545375,8.03895,0.000152586,, , 1.66457,10.5072,0.948155,66.1026,21.4208,34.6935,0.272735,1.2825,0.527862,0.322039,0.0635313,0.183419,1.14651,8.03895,0.000152586,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14107,0.00846373,1.56089,20.5999,0.020796,3.83523
