Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72481,0,1.81752,0.000450696,0.0554169,0,0.111504,2.37506e-06,0.102912,0,1.23285,0.000443721,0.0114147,0,0.0876581,2.29585e-06,, , 0.057025,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000443721,0.000987789,0.00693396,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.29585e-06,0.0585562
2,14.3227,14.4147,11.3423,0.00265506,0.384252,0.439534,3.50292,1.09517e-05,3.46797,3.56,9.61578,0.00234588,0.122221,0.177503,2.63447,2.77686e-07,, , 0.489771,6.25664,0.281557,15.039,8.87695,9.61578,0.00234588,0.0155217,0.158335,0.122412,0.0189776,0.00836733,0.51324,2.63447,2.77686e-07,0.920125
3,3.9438,3.98397,7.27446,0.00377749,0.124319,0.148863,2.83017,1.5954e-05,0.835603,0.875774,6.41629,0.00315914,0.0464773,0.0710213,1.10064,3.67059e-07,, , 0.214041,1.37476,0.122576,5.19895,2.83585,6.41629,0.00315914,0.0293457,0.0696494,0.0396159,0.00823335,0.0073045,0.152882,1.10064,3.67059e-07,1.73961
4,5.81924,5.90589,7.76446,0.00871801,0.201477,0.251537,5.41695,2.94623e-05,1.02232,1.10898,6.41364,0.0074813,0.0868435,0.136904,1.95894,8.56829e-07,, , 0.425213,1.4674,0.238688,8.71495,4.15019,6.41364,0.0074813,0.0584488,0.135412,0.072218,0.016117,0.0115958,0.228027,1.95894,8.56829e-07,3.46485
5,1.42558,1.45749,7.03588,0.00997581,0.0601416,0.078597,7.62983,5.39326e-05,0.251758,0.283666,5.50006,0.00750239,0.0302285,0.0486838,0.715997,9.31294e-07,, , 0.156761,0.291019,0.0876438,6.27073,1.45379,5.50006,0.00750239,0.116473,0.0501973,0.0227841,0.00593088,0.017268,0.0652687,0.715997,9.31294e-07,6.90454
6,2.28526,2.35139,8.4384,0.0102898,0.103118,0.139984,15.2416,0.000104947,0.403789,0.469925,5.50103,0.00534292,0.0595137,0.0963801,1.41421,8.06933e-07,, , 0.313204,0.387537,0.172973,11.9448,2.43759,5.50103,0.00534292,0.232886,0.0997113,0.0443615,0.011821,0.0309699,0.101966,1.41421,8.06933e-07,13.8055
7,0.448093,0.449847,9.57539,0.0200321,0.0238496,0.0274394,49.3574,0.000193258,0.366513,0.368266,0.0128992,0.00310177,0.0123638,0.0159536,0.194679,1.00937e-06,, , 0.00874177,0.72115,0.00488577,12.0317,0.252186,0.0128992,0.00310177,0.827824,0.00971604,0.0174337,0.00116764,0.106011,0.0447805,0.194679,1.00937e-06,49.0734
8,0.027454,0.0276666,0.0180107,3.042e-05,0.000486815,0.000511676,0.0602445,2.43414e-07,0.00177504,0.00198768,0.00203977,9.75316e-06,6.70515e-05,9.19127e-05,0.000225339,8.73518e-09,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203977,9.75316e-06,0.00101147,5.65401e-05,8.41608e-05,1.82633e-05,0.000319475,0.000672753,0.000225339,8.73518e-09,0.0599602
Total,35.9969,28.591,53.2664,0.0559293,0.95306,1.08647,84.1506,0.000411124,6.45264,6.6686,34.6946,0.0293869,0.36913,0.546538,8.10682,6.55376e-06,, , 1.66584,10.5072,0.948155,66.1026,21.4208,34.6946,0.0293869,1.2825,0.530011,0.322039,0.0636171,0.183419,1.14651,8.10682,6.55376e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13935,0.00848102,1.56408,20.4402,0.0209007,3.85454
