Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77716,0,1.2223,0.0027809,0.0385553,0,0.107159,3.37751e-06,0.102964,0,0.952422,0.002753,0.0114143,0,0.0876101,3.2983e-06,, , 0.0569922,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002753,0.000919579,0.00693,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,3.2983e-06,0.0545126
2,3.22904,3.26907,15.5552,5800.08,0.110974,0.134567,2.54311,5.63612,0.835206,0.87524,14.725,5800.08,0.0476772,0.0712705,1.15936,0.704513,, , 0.213024,1.37476,0.122661,5.00969,1.5742,14.725,5800.08,0.0235251,0.0710142,0.0396159,0.00831767,0.00635559,0.124006,1.15936,0.704513,1.39457
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000676474,0.0554127,0,0.111504,3.29237e-05,0.102884,0,1.23285,0.000669499,0.0114105,0,0.0876581,3.28444e-05,, , 0.0569976,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000669499,0.000987789,0.0069298,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.28444e-05,0.0585562
2,14.3221,14.414,11.3432,0.00650587,0.385256,0.440393,3.58599,5.933e-05,3.46734,3.55927,9.61668,0.0061967,0.123225,0.178363,2.71755,3.30133e-06,, , 0.488417,6.25664,0.281557,15.039,8.87695,9.61668,0.0061967,0.0155217,0.160106,0.122412,0.0190695,0.00836733,0.51324,2.71755,3.30133e-06,0.920125
3,3.9436,3.98374,7.27429,0.0134458,0.124231,0.148763,2.81811,0.000104747,0.835402,0.875539,6.41612,0.0128275,0.0463894,0.0709214,1.08858,1.14661e-05,, , 0.213604,1.37476,0.122576,5.19895,2.83585,6.41612,0.0128275,0.0293457,0.0694705,0.0396159,0.00822447,0.0073045,0.152882,1.08858,1.14661e-05,1.73961
4,5.82002,5.90677,7.76534,0.021862,0.201982,0.251485,5.48949,4.62313e-05,1.0231,1.10985,6.41453,0.0206253,0.0873481,0.136851,2.03148,5.04908e-06,, , 0.426873,1.4674,0.238688,8.71495,4.15019,6.41453,0.0206253,0.0584488,0.135774,0.072218,0.0162076,0.0115958,0.228027,2.03148,5.04908e-06,3.46485
5,1.42553,1.45744,7.03593,0.0530681,0.060164,0.078609,7.62983,0.000112132,0.251704,0.283617,5.50011,0.0505947,0.0302508,0.0486959,0.715999,3.00308e-05,, , 0.156658,0.291019,0.0876438,6.27073,1.45379,5.50011,0.0505947,0.116473,0.0502292,0.0227841,0.00593339,0.017268,0.0652687,0.715999,3.00308e-05,6.90454
6,2.28554,2.35167,8.43838,0.0888737,0.10304,0.13984,15.2416,0.000127072,0.404069,0.470203,5.50101,0.0839268,0.0594361,0.0962362,1.41421,2.29321e-05,, , 0.313762,0.387537,0.172973,11.9448,2.43759,5.50101,0.0839268,0.232886,0.0994918,0.0443615,0.011819,0.0309699,0.101966,1.41421,2.29321e-05,13.8055
7,0.448091,0.449851,9.57533,0.113142,0.0237128,0.0271944,49.3539,0.000203354,0.366511,0.36827,0.0128392,0.0962113,0.012227,0.0157085,0.19117,1.11059e-05,, , 0.00873994,0.72115,0.00488577,12.0317,0.252186,0.0128392,0.0962113,0.827824,0.0093372,0.0174337,0.00116458,0.106011,0.0447805,0.19117,1.11059e-05,49.0734
8,0.027454,0.0276666,0.0180035,0.000415889,0.000486692,0.000511482,0.0602445,2.89504e-07,0.00177504,0.00198768,0.00203263,0.000395222,6.69283e-05,9.17182e-05,0.000225338,5.48254e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203263,0.000395222,0.00101147,5.62281e-05,8.41608e-05,1.82576e-05,0.000319475,0.000672753,0.000225338,5.48254e-08,0.0599602
Total,35.9971,28.5911,53.268,0.297989,0.954285,1.0868,84.2907,0.000686079,6.45279,6.66874,34.6962,0.271447,0.370354,0.546868,8.24687,0.000116785,, , 1.66613,10.5072,0.948155,66.1026,21.4208,34.6962,0.271447,1.2825,0.531395,0.322039,0.0637881,0.183419,1.14651,8.24687,0.000116785,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13583,0.00846351,1.56085,20.1241,0.0207947,3.83499
