Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554139,0,0.111504,2.92081e-06,0.102887,0,1.23285,0.000681999,0.0114118,0,0.0876581,2.84161e-06,, , 0.0570008,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693101,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.84161e-06,0.0585562
2,14.3226,14.4147,11.3426,0.00559268,0.384555,0.439802,3.53061,2.32593e-05,3.4679,3.55994,9.61607,0.0052835,0.122524,0.177772,2.66217,1.04691e-06,, , 0.489642,6.25664,0.281557,15.039,8.87695,9.61607,0.0052835,0.0155217,0.158877,0.122412,0.019007,0.00836733,0.51324,2.66217,1.04691e-06,0.920125
3,3.94368,3.98384,7.27344,0.0139918,0.123952,0.148745,2.78189,0.000143989,0.83548,0.875639,6.41527,0.0133734,0.0461107,0.0709033,1.05236,1.63714e-05,, , 0.213783,1.37476,0.122576,5.19895,2.83585,6.41527,0.0133734,0.0293457,0.0692169,0.0396159,0.00818112,0.0073045,0.152882,1.05236,1.63714e-05,1.73961
4,5.81924,5.90593,7.76429,0.0271192,0.201036,0.250828,5.41694,0.000101813,1.02233,1.10902,6.41348,0.0258825,0.0864021,0.136194,1.95893,1.89446e-05,, , 0.425259,1.4674,0.238688,8.71495,4.15019,6.41348,0.0258825,0.0584488,0.134278,0.072218,0.0161005,0.0115958,0.228027,1.95893,1.89446e-05,3.46485
5,1.4255,1.45741,7.03567,0.0559842,0.060032,0.0784976,7.62983,0.000173026,0.25168,0.283586,5.49985,0.0535108,0.0301188,0.0485844,0.715992,6.04782e-05,, , 0.156603,0.291019,0.0876438,6.27073,1.45379,5.49985,0.0535108,0.116473,0.0499989,0.0227841,0.00592021,0.017268,0.0652687,0.715992,6.04782e-05,6.90454
6,2.28519,2.35131,8.43815,0.0924555,0.102839,0.139716,15.2416,0.000128262,0.403727,0.469841,5.50078,0.0875086,0.0592351,0.0961121,1.4142,2.4122e-05,, , 0.313059,0.387537,0.172973,11.9448,2.43759,5.50078,0.0875086,0.232886,0.0991904,0.0443615,0.0117953,0.0309699,0.101966,1.4142,2.4122e-05,13.8055
7,0.44809,0.449844,9.57532,0.0766496,0.023742,0.0272596,49.3539,0.000199509,0.366509,0.368263,0.0128298,0.0597193,0.0122561,0.0157737,0.19117,7.26057e-06,, , 0.00873674,0.72115,0.00488577,12.0317,0.252186,0.0128298,0.0597193,0.827824,0.00943209,0.0174337,0.0011641,0.106011,0.0447805,0.19117,7.26057e-06,49.0734
8,0.027454,0.0276666,0.0180096,0.000343853,0.00048681,0.000511676,0.0602445,2.81725e-07,0.00177504,0.00198768,0.00203867,0.000323186,6.70471e-05,9.19125e-05,0.000225339,4.70463e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203867,0.000323186,0.00101147,5.65365e-05,8.41608e-05,1.82624e-05,0.000319475,0.000672753,0.000225339,4.70463e-08,0.0599602
Total,35.9966,28.5907,53.265,0.272826,0.952057,1.08536,84.1265,0.000773062,6.45229,6.66827,34.6932,0.246283,0.368126,0.545431,8.08269,0.000131112,, , 1.66516,10.5072,0.948155,66.1026,21.4208,34.6932,0.246283,1.2825,0.527981,0.322039,0.0635378,0.183419,1.14651,8.08269,0.000131112,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13999,0.0084656,1.56124,20.4995,0.0208073,3.83731
