Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.055415,0,0.111504,3.3703e-06,0.102897,0,1.23285,0.000681999,0.0114129,0,0.0876581,3.2911e-06,, , 0.0570103,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693216,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.2911e-06,0.0585562
2,14.3229,14.4149,11.3425,0.0063871,0.384334,0.43952,3.50293,4.46336e-05,3.46813,3.56019,9.61595,0.00607792,0.122304,0.17749,2.63448,2.3828e-06,, , 0.49012,6.25664,0.281557,15.039,8.87695,9.61595,0.00607792,0.0155217,0.158387,0.122412,0.0189946,0.00836733,0.51324,2.63448,2.3828e-06,0.920125
3,3.94379,3.98397,7.27355,0.0131115,0.123978,0.148732,2.79396,6.60803e-05,0.83559,0.875765,6.41539,0.0124932,0.0461369,0.0708906,1.06443,6.63285e-06,, , 0.214018,1.37476,0.122576,5.19895,2.83585,6.41539,0.0124932,0.0293457,0.0692245,0.0396159,0.00818711,0.0073045,0.152882,1.06443,6.63285e-06,1.73961
4,5.81908,5.90576,7.76411,0.0223729,0.200951,0.250873,5.39275,4.46779e-05,1.02217,1.10884,6.41329,0.0211362,0.0863172,0.136239,1.93474,4.66072e-06,, , 0.424927,1.4674,0.238688,8.71495,4.15019,6.41329,0.0211362,0.0584488,0.134257,0.072218,0.0160815,0.0115958,0.228027,1.93474,4.66072e-06,3.46485
5,1.42558,1.45749,7.0358,0.0545506,0.0600782,0.0785174,7.62983,0.000137587,0.251763,0.283668,5.49998,0.0520772,0.030165,0.0486042,0.715995,4.27587e-05,, , 0.156767,0.291019,0.0876438,6.27073,1.45379,5.49998,0.0520772,0.116473,0.0500584,0.0227841,0.00592674,0.017268,0.0652687,0.715995,4.27587e-05,6.90454
6,2.28448,2.35048,8.43788,0.0895707,0.102393,0.139132,15.2238,0.000124475,0.403011,0.469016,5.50051,0.0846239,0.0587895,0.0955277,1.39641,2.03351e-05,, , 0.311502,0.387537,0.172973,11.9448,2.43759,5.50051,0.0846239,0.232886,0.0981883,0.0443615,0.0117674,0.0309699,0.101966,1.39641,2.03351e-05,13.8055
7,0.448092,0.449846,9.57534,0.110417,0.0237585,0.027287,49.3539,0.000203026,0.366511,0.368265,0.0128419,0.093487,0.0122726,0.0158012,0.19117,1.07773e-05,, , 0.00874061,0.72115,0.00488577,12.0317,0.252186,0.0128419,0.093487,0.827824,0.00947538,0.0174337,0.00116472,0.106011,0.0447805,0.19117,1.07773e-05,49.0734
8,0.027454,0.0276666,0.01802,0.000168585,0.000486852,0.000511677,0.0602445,2.62224e-07,0.00177504,0.00198768,0.0020491,0.000147918,6.7089e-05,9.19141e-05,0.000225339,2.7546e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.0020491,0.000147918,0.00101147,5.65715e-05,8.41608e-05,1.82708e-05,0.000319475,0.000672753,0.000225339,2.7546e-08,0.0599602
Total,35.9961,28.5901,53.2647,0.297268,0.951396,1.08457,84.0689,0.000624113,6.45184,6.66774,34.6929,0.270725,0.367465,0.544644,8.02511,9.08662e-05,, , 1.66417,10.5072,0.948155,66.1026,21.4208,34.6929,0.270725,1.2825,0.526578,0.322039,0.0634917,0.183419,1.14651,8.02511,9.08662e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14146,0.00846394,1.56093,20.635,0.0207973,3.83547
