Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000425437,0.0554157,0,0.111504,2.2726e-06,0.102902,0,1.23285,0.000418462,0.0114136,0,0.0876581,2.19339e-06,, , 0.0570153,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000418462,0.000987789,0.00693285,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.19339e-06,0.0585562
2,14.3229,14.415,11.3424,0.00259241,0.38429,0.439547,3.50292,1.07253e-05,3.4682,3.56027,9.61584,0.00228323,0.12226,0.177517,2.63448,2.63537e-07,, , 0.490274,6.25664,0.281557,15.039,8.87695,9.61584,0.00228323,0.0155217,0.158381,0.122412,0.0189838,0.00836733,0.51324,2.63448,2.63537e-07,0.920125
3,3.94382,3.98397,7.2742,0.00460512,0.124234,0.14885,2.81811,1.6682e-05,0.835615,0.875772,6.41603,0.00398676,0.0463927,0.0710087,1.08857,4.58061e-07,, , 0.21405,1.37476,0.122576,5.19895,2.83585,6.41603,0.00398676,0.0293457,0.0695654,0.0396159,0.00822014,0.0073045,0.152882,1.08857,4.58061e-07,1.73961
4,5.81929,5.906,7.76449,0.00779305,0.201448,0.251446,5.41695,2.90459e-05,1.02237,1.10909,6.41367,0.00655633,0.0868142,0.136812,1.95894,7.52717e-07,, , 0.425378,1.4674,0.238688,8.71495,4.15019,6.41367,0.00655633,0.0584488,0.135289,0.072218,0.01612,0.0115958,0.228027,1.95894,7.52717e-07,3.46485
5,1.42537,1.45727,7.0358,0.0105214,0.0600909,0.078543,7.62983,5.40385e-05,0.251549,0.283451,5.49998,0.008048,0.0301777,0.0486298,0.715995,9.84249e-07,, , 0.156335,0.291019,0.0876438,6.27073,1.45379,5.49998,0.008048,0.116473,0.0500967,0.0227841,0.00592668,0.017268,0.0652687,0.715995,9.84249e-07,6.90454
6,2.28492,2.351,8.43825,0.0258253,0.103008,0.139941,15.2416,0.000106596,0.40345,0.469538,5.50088,0.0208785,0.0594046,0.096337,1.41421,2.45582e-06,, , 0.312459,0.387537,0.172973,11.9448,2.43759,5.50088,0.0208785,0.232886,0.0995744,0.0443615,0.0118057,0.0309699,0.101966,1.41421,2.45582e-06,13.8055
7,0.4481,0.449856,9.57539,0.0220809,0.0238526,0.0274483,49.3574,0.000193532,0.366519,0.368275,0.0128955,0.00515057,0.0123668,0.0159625,0.194678,1.28386e-06,, , 0.00875619,0.72115,0.00488577,12.0317,0.252186,0.0128955,0.00515057,0.827824,0.00972812,0.0174337,0.00116746,0.106011,0.0447805,0.194678,1.28386e-06,49.0734
8,0.027454,0.0276666,0.0180085,5.89295e-05,0.000486806,0.000511676,0.0602445,2.4869e-07,0.00177504,0.00198768,0.00203757,3.82626e-05,6.70427e-05,9.19124e-05,0.000225339,1.40114e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203757,3.82626e-05,0.00101147,5.65328e-05,8.41608e-05,1.82615e-05,0.000319475,0.000672753,0.000225339,1.40114e-08,0.0599602
Total,35.9967,28.5908,53.266,0.0739026,0.952827,1.08629,84.1386,0.000413141,6.45238,6.66838,34.6942,0.0473601,0.368896,0.546359,8.09475,8.40565e-06,, , 1.66535,10.5072,0.948155,66.1026,21.4208,34.6942,0.0473601,1.2825,0.529623,0.322039,0.0635934,0.183419,1.14651,8.09475,8.40565e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13966,0.00847979,1.56386,20.4685,0.0208933,3.85316
