Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554143,0,0.111504,3.3662e-06,0.102896,0,1.23285,0.000681999,0.0114121,0,0.0876581,3.287e-06,, , 0.0570097,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693137,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.287e-06,0.0585562
2,14.3223,14.4143,11.343,0.00591476,0.385073,0.440273,3.55832,2.93597e-05,3.46758,3.55955,9.61651,0.00560558,0.123043,0.178243,2.68987,1.42819e-06,, , 0.488932,6.25664,0.281557,15.039,8.87695,9.61651,0.00560558,0.0155217,0.159822,0.122412,0.0190517,0.00836733,0.51324,2.68987,1.42819e-06,0.920125
3,3.94372,3.98388,7.27397,0.0139496,0.124154,0.148822,2.80604,0.000200914,0.835525,0.875677,6.41581,0.0133312,0.0463122,0.0709799,1.0765,2.3487e-05,, , 0.213865,1.37476,0.122576,5.19895,2.83585,6.41581,0.0133312,0.0293457,0.0694677,0.0396159,0.00820856,0.0073045,0.152882,1.0765,2.3487e-05,1.73961
4,5.8191,5.90578,7.76442,0.0248629,0.201222,0.251059,5.41695,6.27504e-05,1.02219,1.10886,6.4136,0.0236261,0.0865884,0.136425,1.95893,9.17884e-06,, , 0.424963,1.4674,0.238688,8.71495,4.15019,6.4136,0.0236261,0.0584488,0.134683,0.072218,0.0161133,0.0115958,0.228027,1.95893,9.17884e-06,3.46485
5,1.42552,1.45743,7.03568,0.0485029,0.0600282,0.0784878,7.62983,7.96672e-05,0.251694,0.283607,5.49985,0.0460295,0.030115,0.0485746,0.715992,1.37986e-05,, , 0.156627,0.291019,0.0876438,6.27073,1.45379,5.49985,0.0460295,0.116473,0.0499853,0.0227841,0.00592027,0.017268,0.0652687,0.715992,1.37986e-05,6.90454
6,2.28478,2.3508,8.43806,0.0907499,0.102577,0.139282,15.2238,0.000126859,0.403314,0.469335,5.50069,0.0858031,0.0589728,0.0956786,1.39642,2.27185e-05,, , 0.31214,0.387537,0.172973,11.9448,2.43759,5.50069,0.0858031,0.232886,0.0985036,0.0443615,0.0117864,0.0309699,0.101966,1.39642,2.27185e-05,13.8055
7,0.448092,0.449848,9.57536,0.0830543,0.0237969,0.0273519,49.3557,0.000200166,0.366512,0.368267,0.0128637,0.066124,0.012311,0.015866,0.192924,7.91786e-06,, , 0.00874304,0.72115,0.00488577,12.0317,0.252186,0.0128637,0.066124,0.827824,0.00957754,0.0174337,0.00116583,0.106011,0.0447805,0.192924,7.91786e-06,49.0734
8,0.027454,0.0276666,0.0180068,0.000353208,0.0004868,0.000511676,0.0602445,2.80794e-07,0.00177504,0.00198768,0.00203593,0.000332541,6.70362e-05,9.19122e-05,0.000225338,4.61154e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203593,0.000332541,0.00101147,5.65274e-05,8.41608e-05,1.82602e-05,0.000319475,0.000672753,0.000225338,4.61154e-08,0.0599602
Total,35.9958,28.5897,53.2661,0.268077,0.952752,1.08579,84.1623,0.000703363,6.45148,6.66729,34.6942,0.241534,0.368822,0.545859,8.11853,8.18621e-05,, , 1.66336,10.5072,0.948155,66.1026,21.4208,34.6942,0.241534,1.2825,0.529026,0.322039,0.0636156,0.183419,1.14651,8.11853,8.18621e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13907,0.00846599,1.56131,20.4157,0.0208097,3.83775
