Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554147,0,0.111504,3.14431e-06,0.102894,0,1.23285,0.000681999,0.0114125,0,0.0876581,3.0651e-06,, , 0.0570074,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693177,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.0651e-06,0.0585562
2,14.3227,14.4148,11.3426,0.00682321,0.384573,0.439909,3.53061,7.05468e-05,3.46798,3.56006,9.61603,0.00651403,0.122542,0.177878,2.66216,4.00238e-06,, , 0.489842,6.25664,0.281557,15.039,8.87695,9.61603,0.00651403,0.0155217,0.159005,0.122412,0.019003,0.00836733,0.51324,2.66216,4.00238e-06,0.920125
3,3.94378,3.98396,7.27343,0.0124987,0.123929,0.148706,2.78189,4.91949e-05,0.835584,0.875759,6.41526,0.0118803,0.0460871,0.0708648,1.05236,4.52217e-06,, , 0.214006,1.37476,0.122576,5.19895,2.83585,6.41526,0.0118803,0.0293457,0.0691554,0.0396159,0.00818065,0.0073045,0.152882,1.05236,4.52217e-06,1.73961
4,5.81939,5.90609,7.76444,0.0249409,0.201427,0.25146,5.41695,6.02098e-05,1.02247,1.10918,6.41362,0.0237042,0.0867931,0.136826,1.95893,8.54369e-06,, , 0.425564,1.4674,0.238688,8.71495,4.15019,6.41362,0.0237042,0.0584488,0.135287,0.072218,0.0161149,0.0115958,0.228027,1.95893,8.54369e-06,3.46485
5,1.42555,1.45745,7.03569,0.0497225,0.0600329,0.0784924,7.62983,8.66203e-05,0.251723,0.283631,5.49986,0.0472491,0.0301197,0.0485792,0.715992,1.72751e-05,, , 0.156691,0.291019,0.0876438,6.27073,1.45379,5.49986,0.0472491,0.116473,0.049994,0.0227841,0.00592081,0.017268,0.0652687,0.715992,1.72751e-05,6.90454
6,2.28469,2.35074,8.43797,0.0934607,0.102497,0.13924,15.2238,0.00012863,0.40322,0.469274,5.50059,0.0885138,0.0588933,0.0956367,1.39642,2.44902e-05,, , 0.311984,0.387537,0.172973,11.9448,2.43759,5.50059,0.0885138,0.232886,0.0983922,0.0443615,0.0117763,0.0309699,0.101966,1.39642,2.44902e-05,13.8055
7,0.448087,0.449842,9.5753,0.0701012,0.0237021,0.027195,49.3522,0.000198817,0.366507,0.368261,0.0128017,0.0531709,0.0122163,0.0157092,0.189415,6.56884e-06,, , 0.00873098,0.72115,0.00488577,12.0317,0.252186,0.0128017,0.0531709,0.827824,0.00932909,0.0174337,0.00116266,0.106011,0.0447805,0.189415,6.56884e-06,49.0734
8,0.027454,0.0276666,0.0180326,0.000331304,0.000486903,0.000511679,0.0602466,2.82942e-07,0.00177504,0.00198768,0.00206173,0.000310638,6.71394e-05,9.19158e-05,0.000227483,4.82634e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00206173,0.000310638,0.00101147,5.66135e-05,8.41608e-05,1.82808e-05,0.000319475,0.000672753,0.000227483,4.82634e-08,0.0599602
Total,35.9965,28.5906,53.2649,0.258567,0.952062,1.08552,84.107,0.000597447,6.45216,6.66815,34.6931,0.232025,0.368131,0.545587,8.06316,6.85158e-05,, , 1.66491,10.5072,0.948155,66.1026,21.4208,34.6931,0.232025,1.2825,0.528151,0.322039,0.0635279,0.183419,1.14651,8.06316,6.85158e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14047,0.00846665,1.56143,20.5439,0.0208136,3.83848
