Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554147,0,0.111504,3.59999e-06,0.102896,0,1.23285,0.000681999,0.0114126,0,0.0876581,3.52079e-06,, , 0.0570092,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693182,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52079e-06,0.0585562
2,14.3229,14.415,11.3425,0.00617744,0.384447,0.439697,3.53061,4.13111e-05,3.4682,3.56026,9.61599,0.00586826,0.122416,0.177666,2.66216,2.17514e-06,, , 0.490267,6.25664,0.281557,15.039,8.87695,9.61599,0.00586826,0.0155217,0.158671,0.122412,0.018999,0.00836733,0.51324,2.66216,2.17514e-06,0.920125
3,3.94385,3.98403,7.2734,0.0120574,0.123858,0.148581,2.78189,4.11538e-05,0.83565,0.87583,6.41523,0.0114391,0.046016,0.0707393,1.05235,3.51704e-06,, , 0.214142,1.37476,0.122576,5.19895,2.83585,6.41523,0.0114391,0.0293457,0.0689604,0.0396159,0.00817898,0.0073045,0.152882,1.05235,3.51704e-06,1.73961
4,5.81926,5.90594,7.76439,0.0240153,0.201384,0.251437,5.41695,5.33672e-05,1.02235,1.10902,6.41357,0.0227786,0.0867504,0.136803,1.95893,6.83306e-06,, , 0.425284,1.4674,0.238688,8.71495,4.15019,6.41357,0.0227786,0.0584488,0.135226,0.072218,0.0161099,0.0115958,0.228027,1.95893,6.83306e-06,3.46485
5,1.42546,1.45736,7.0357,0.0474328,0.0600391,0.0784975,7.62983,7.84863e-05,0.251639,0.283533,5.49988,0.0449593,0.0301259,0.0485843,0.715993,1.32081e-05,, , 0.156509,0.291019,0.0876438,6.27073,1.45379,5.49988,0.0449593,0.116473,0.0500045,0.0227841,0.00592162,0.017268,0.0652687,0.715993,1.32081e-05,6.90454
6,2.28476,2.35077,8.43795,0.0885197,0.10252,0.139307,15.2238,0.000123081,0.403293,0.4693,5.50058,0.0835728,0.0589162,0.0957033,1.39641,1.89409e-05,, , 0.312075,0.387537,0.172973,11.9448,2.43759,5.50058,0.0835728,0.232886,0.0984833,0.0443615,0.0117747,0.0309699,0.101966,1.39641,1.89409e-05,13.8055
7,0.448093,0.449852,9.57537,0.0957606,0.0238105,0.0273738,49.3557,0.00020147,0.366513,0.368272,0.0128748,0.0788303,0.0123247,0.015888,0.192925,9.22121e-06,, , 0.00874359,0.72115,0.00488577,12.0317,0.252186,0.0128748,0.0788303,0.827824,0.0096126,0.0174337,0.0011664,0.106011,0.0447805,0.192925,9.22121e-06,49.0734
8,0.027454,0.0276666,0.0180139,0.00016859,0.000486781,0.00051158,0.0602445,2.61918e-07,0.00177504,0.00198768,0.00204306,0.000147924,6.70173e-05,9.18164e-05,0.000225339,2.72394e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204306,0.000147924,0.00101147,5.6407e-05,8.41608e-05,1.82659e-05,0.000319475,0.000672753,0.000225339,2.72394e-08,0.0599602
Total,35.9966,28.5906,53.2649,0.274821,0.95196,1.0854,84.1105,0.000542731,6.45232,6.66821,34.693,0.248278,0.368029,0.545476,8.06666,5.74435e-05,, , 1.66511,10.5072,0.948155,66.1026,21.4208,34.693,0.248278,1.2825,0.527946,0.322039,0.0635201,0.183419,1.14651,8.06666,5.74435e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14039,0.00846547,1.56121,20.5364,0.0208065,3.83717
