Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554144,0,0.111504,3.14459e-06,0.102892,0,1.23285,0.000681999,0.0114123,0,0.0876581,3.06539e-06,, , 0.0570052,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693155,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.06539e-06,0.0585562
2,14.323,14.415,11.3425,0.00694362,0.384386,0.439633,3.50293,0.000105933,3.46822,3.56028,9.61594,0.00663444,0.122356,0.177603,2.63448,6.21401e-06,, , 0.490305,6.25664,0.281557,15.039,8.87695,9.61594,0.00663444,0.0155217,0.158552,0.122412,0.0189939,0.00836733,0.51324,2.63448,6.21401e-06,0.920125
3,3.94382,3.98399,7.27376,0.0140793,0.124083,0.148816,2.79396,0.000163943,0.835615,0.875791,6.41559,0.013461,0.0462411,0.0709748,1.06443,1.88657e-05,, , 0.21407,1.37476,0.122576,5.19895,2.83585,6.41559,0.013461,0.0293457,0.0694024,0.0396159,0.00819771,0.0073045,0.152882,1.06443,1.88657e-05,1.73961
4,5.81908,5.90575,7.7642,0.0232239,0.201059,0.25099,5.39276,4.9981e-05,1.02217,1.10884,6.41338,0.0219872,0.0864247,0.136356,1.93474,5.98651e-06,, , 0.424918,1.4674,0.238688,8.71495,4.15019,6.41338,0.0219872,0.0584488,0.134472,0.072218,0.0160908,0.0115958,0.228027,1.93474,5.98651e-06,3.46485
5,1.42534,1.45722,7.03564,0.0461001,0.0600004,0.0784549,7.62094,7.48388e-05,0.251521,0.2834,5.49982,0.0436267,0.0300872,0.0485417,0.707107,1.13844e-05,, , 0.156258,0.291019,0.0876438,6.27073,1.45379,5.49982,0.0436267,0.116473,0.0499265,0.0227841,0.00591833,0.017268,0.0652687,0.707107,1.13844e-05,6.90454
6,2.28468,2.35071,8.43803,0.0873743,0.102706,0.139588,15.2238,0.000122322,0.403211,0.469244,5.50066,0.0824275,0.0591024,0.0959837,1.39642,1.81818e-05,, , 0.311946,0.387537,0.172973,11.9448,2.43759,5.50066,0.0824275,0.232886,0.0989416,0.0443615,0.011783,0.0309699,0.101966,1.39642,1.81818e-05,13.8055
7,0.448092,0.449851,9.57536,0.109617,0.0237761,0.0273117,49.3557,0.00020293,0.366512,0.368271,0.012861,0.0926871,0.0122903,0.0158259,0.192924,1.06813e-05,, , 0.00874617,0.72115,0.00488577,12.0317,0.252186,0.012861,0.0926871,0.827824,0.00951681,0.0174337,0.00116569,0.106011,0.0447805,0.192924,1.06813e-05,49.0734
8,0.027454,0.0276666,0.0180019,0.000315553,0.000486685,0.000511481,0.0602445,2.76852e-07,0.00177504,0.00198768,0.00203098,0.000294886,6.69216e-05,9.17179e-05,0.000225338,4.21738e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203098,0.000294886,0.00101147,5.62225e-05,8.41608e-05,1.82563e-05,0.000319475,0.000672753,0.000225338,4.21738e-08,0.0599602
Total,35.9962,28.5902,53.265,0.288343,0.951912,1.08531,84.0618,0.000723369,6.45191,6.66781,34.6931,0.261801,0.367981,0.545377,8.01799,7.44213e-05,, , 1.66433,10.5072,0.948155,66.1026,21.4208,34.6931,0.261801,1.2825,0.5278,0.322039,0.063519,0.183419,1.14651,8.01799,7.44213e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1416,0.00846455,1.56104,20.6486,0.020801,3.83614
