Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000695224,0.0554143,0,0.111504,3.37999e-06,0.102901,0,1.23285,0.000688249,0.0114122,0,0.0876581,3.30078e-06,, , 0.0570141,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000688249,0.000987789,0.00693142,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.30078e-06,0.0585562
2,14.3223,14.4143,11.3432,0.00651525,0.385388,0.440677,3.586,5.54497e-05,3.46761,3.55958,9.6167,0.00620607,0.123357,0.178646,2.71755,3.05881e-06,, , 0.488984,6.25664,0.281557,15.039,8.87695,9.6167,0.00620607,0.0155217,0.160519,0.122412,0.019072,0.00836733,0.51324,2.71755,3.05881e-06,0.920125
3,3.94367,3.98383,7.27372,0.0117824,0.123999,0.148663,2.79396,3.90972e-05,0.83547,0.875628,6.41556,0.011164,0.0461572,0.0708218,1.06443,3.25997e-06,, , 0.213761,1.37476,0.122576,5.19895,2.83585,6.41556,0.011164,0.0293457,0.0691674,0.0396159,0.00819576,0.0073045,0.152882,1.06443,3.25997e-06,1.73961
4,5.8192,5.90586,7.76437,0.0240806,0.201317,0.25131,5.41695,5.55287e-05,1.02228,1.10895,6.41356,0.0228439,0.0866835,0.136676,1.95893,7.37343e-06,, , 0.425148,1.4674,0.238688,8.71495,4.15019,6.41356,0.0228439,0.0584488,0.135033,0.072218,0.0161086,0.0115958,0.228027,1.95893,7.37343e-06,3.46485
5,1.42542,1.45733,7.03575,0.0469042,0.0600568,0.0785059,7.62983,7.55351e-05,0.251597,0.283509,5.49993,0.0444308,0.0301436,0.0485927,0.715994,1.17325e-05,, , 0.156443,0.291019,0.0876438,6.27073,1.45379,5.49993,0.0444308,0.116473,0.0500283,0.0227841,0.005924,0.017268,0.0652687,0.715994,1.17325e-05,6.90454
6,2.28482,2.35089,8.43818,0.0996705,0.102851,0.139709,15.2416,0.000140061,0.403353,0.46942,5.50081,0.0947237,0.0592472,0.0961055,1.4142,3.59206e-05,, , 0.312264,0.387537,0.172973,11.9448,2.43759,5.50081,0.0947237,0.232886,0.0991932,0.0443615,0.011798,0.0309699,0.101966,1.4142,3.59206e-05,13.8055
7,0.448093,0.449847,9.57532,0.114939,0.0237735,0.0273286,49.3539,0.000203482,0.366512,0.368266,0.0128222,0.0980092,0.0122876,0.0158428,0.19117,1.12332e-05,, , 0.00874289,0.72115,0.00488577,12.0317,0.252186,0.0128222,0.0980092,0.827824,0.00953297,0.0174337,0.00116371,0.106011,0.0447805,0.19117,1.12332e-05,49.0734
8,0.027454,0.0276666,0.0180013,0.000325078,0.000486778,0.000511675,0.0602445,2.77299e-07,0.00177504,0.00198768,0.00203044,0.000304411,6.70142e-05,9.19114e-05,0.000225338,4.26208e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203044,0.000304411,0.00101147,5.6509e-05,8.41608e-05,1.82558e-05,0.000319475,0.000672753,0.000225338,4.26208e-08,0.0599602
Total,35.9958,28.5897,53.2661,0.304913,0.953286,1.08671,84.194,0.00057281,6.4515,6.66734,34.6943,0.27837,0.369356,0.546777,8.15016,7.59219e-05,, , 1.66344,10.5072,0.948155,66.1026,21.4208,34.6943,0.27837,1.2825,0.530462,0.322039,0.0636317,0.183419,1.14651,8.15016,7.59219e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13826,0.00846335,1.56082,20.3413,0.0207937,3.83481
