Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554152,0,0.111504,3.37009e-06,0.102899,0,1.23285,0.000681999,0.011413,0,0.0876581,3.29088e-06,, , 0.0570124,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693229,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29088e-06,0.0585562
2,14.3227,14.4147,11.3425,0.00711861,0.384461,0.4397,3.53061,0.00016711,3.46797,3.56,9.616,0.00680943,0.12243,0.177669,2.66216,1.00376e-05,, , 0.489775,6.25664,0.281557,15.039,8.87695,9.616,0.00680943,0.0155217,0.158687,0.122412,0.0190002,0.00836733,0.51324,2.66216,1.00376e-05,0.920125
3,3.94377,3.98393,7.27376,0.0140325,0.124092,0.148836,2.79396,0.000182135,0.835569,0.875726,6.41559,0.0134142,0.0462505,0.0709941,1.06443,2.11397e-05,, , 0.213958,1.37476,0.122576,5.19895,2.83585,6.41559,0.0134142,0.0293457,0.0694312,0.0396159,0.00819748,0.0073045,0.152882,1.06443,2.11397e-05,1.73961
4,5.81912,5.90575,7.7642,0.0277804,0.201056,0.250976,5.39276,0.000134573,1.02221,1.10883,6.41339,0.0265437,0.0864222,0.136342,1.93474,2.71345e-05,, , 0.42495,1.4674,0.238688,8.71495,4.15019,6.41339,0.0265437,0.0584488,0.134455,0.072218,0.0160911,0.0115958,0.228027,1.93474,2.71345e-05,3.46485
5,1.42548,1.4574,7.03576,0.0540853,0.0600271,0.0784404,7.62983,0.000116981,0.25166,0.28358,5.49994,0.0516119,0.030114,0.0485272,0.715994,3.24556e-05,, , 0.156576,0.291019,0.0876438,6.27073,1.45379,5.49994,0.0516119,0.116473,0.0499326,0.0227841,0.00592454,0.017268,0.0652687,0.715994,3.24556e-05,6.90454
6,2.2847,2.35075,8.43802,0.0884913,0.10257,0.13933,15.2238,0.000123453,0.403228,0.469278,5.50064,0.0835444,0.0589665,0.0957257,1.39642,1.93125e-05,, , 0.311987,0.387537,0.172973,11.9448,2.43759,5.50064,0.0835444,0.232886,0.0985494,0.0443615,0.0117814,0.0309699,0.101966,1.39642,1.93125e-05,13.8055
7,0.448082,0.449835,9.57532,0.110053,0.023741,0.0272602,49.3539,0.000202976,0.366502,0.368254,0.0128258,0.0931231,0.0122551,0.0157743,0.19117,1.07273e-05,, , 0.00871926,0.72115,0.00488577,12.0317,0.252186,0.0128258,0.0931231,0.827824,0.00943183,0.0174337,0.00116389,0.106011,0.0447805,0.19117,1.07273e-05,49.0734
8,0.027454,0.0276666,0.0180052,0.000453431,0.000486793,0.000511675,0.0602445,2.93066e-07,0.00177504,0.00198768,0.00203428,0.000432764,6.70296e-05,9.1912e-05,0.000225338,5.8388e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203428,0.000432764,0.00101147,5.65219e-05,8.41608e-05,1.82589e-05,0.000319475,0.000672753,0.000225338,5.8388e-08,0.0599602
Total,35.9961,28.5901,53.2651,0.302704,0.951849,1.08505,84.0966,0.000930891,6.45181,6.66766,34.6933,0.276161,0.367919,0.545124,8.0528,0.000124157,, , 1.66406,10.5072,0.948155,66.1026,21.4208,34.6933,0.276161,1.2825,0.527476,0.322039,0.0635282,0.183419,1.14651,8.0528,0.000124157,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14074,0.00846353,1.56086,20.569,0.0207948,3.83501
