Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000676474,0.055414,0,0.111504,5.54309e-05,0.102886,0,1.23285,0.000669499,0.0114118,0,0.0876581,5.53517e-05,, , 0.0569999,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000669499,0.000987789,0.00693108,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,5.53517e-05,0.0585562
2,14.3226,14.4147,11.3424,0.00718111,0.384313,0.439514,3.50293,0.000185219,3.4679,3.55995,9.61592,0.00687193,0.122282,0.177484,2.63448,1.11694e-05,, , 0.489652,6.25664,0.281557,15.039,8.87695,9.61592,0.00687193,0.0155217,0.158362,0.122412,0.0189916,0.00836733,0.51324,2.63448,1.11694e-05,0.920125
3,3.94372,3.98389,7.27352,0.01329,0.123915,0.148625,2.79396,7.81997e-05,0.835522,0.875686,6.41535,0.0126716,0.0460736,0.0707837,1.06442,8.14778e-06,, , 0.213871,1.37476,0.122576,5.19895,2.83585,6.41535,0.0126716,0.0293457,0.0690562,0.0396159,0.00818522,0.0073045,0.152882,1.06442,8.14778e-06,1.73961
4,5.81897,5.90558,7.76412,0.0264109,0.200905,0.250773,5.39275,8.4935e-05,1.02205,1.10867,6.4133,0.0251742,0.0862715,0.136139,1.93474,1.4725e-05,, , 0.424639,1.4674,0.238688,8.71495,4.15019,6.4133,0.0251742,0.0584488,0.13411,0.072218,0.0160822,0.0115958,0.228027,1.93474,1.4725e-05,3.46485
5,1.42535,1.45723,7.03559,0.0466943,0.0599772,0.0784365,7.62094,7.64508e-05,0.251528,0.283407,5.49977,0.0442209,0.030064,0.0485234,0.707106,1.21904e-05,, , 0.156272,0.291019,0.0876438,6.27073,1.45379,5.49977,0.0442209,0.116473,0.0498874,0.0227841,0.00591582,0.017268,0.0652687,0.707106,1.21904e-05,6.90454
6,2.28458,2.35059,8.43791,0.0871509,0.102293,0.138891,15.2238,0.000123895,0.403109,0.469123,5.50054,0.0822041,0.0586893,0.0952877,1.39641,1.97547e-05,, , 0.311722,0.387537,0.172973,11.9448,2.43759,5.50054,0.0822041,0.232886,0.097845,0.0443615,0.0117705,0.0309699,0.101966,1.39641,1.97547e-05,13.8055
7,0.448087,0.449843,9.57537,0.11347,0.0238106,0.0273752,49.3557,0.000203344,0.366506,0.368262,0.0128731,0.0965399,0.0123247,0.0158893,0.192925,1.10957e-05,, , 0.00873132,0.72115,0.00488577,12.0317,0.252186,0.0128731,0.0965399,0.827824,0.00961402,0.0174337,0.00116631,0.106011,0.0447805,0.192925,1.10957e-05,49.0734
8,0.027454,0.0276666,0.0180013,0.000306232,0.000486777,0.000511675,0.0602445,2.77897e-07,0.00177504,0.00198768,0.00203044,0.000285565,6.70142e-05,9.19114e-05,0.000225338,4.32187e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203044,0.000285565,0.00101147,5.65089e-05,8.41608e-05,1.82558e-05,0.000319475,0.000672753,0.000225338,4.32187e-08,0.0599602
Total,35.9956,28.5895,53.2645,0.29518,0.951115,1.08413,84.0618,0.000807752,6.45128,6.66708,34.6926,0.268638,0.367184,0.544199,8.01797,0.000132478,, , 1.66297,10.5072,0.948155,66.1026,21.4208,34.6926,0.268638,1.2825,0.525863,0.322039,0.0634812,0.183419,1.14651,8.01797,0.000132478,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14165,0.0084642,1.56098,20.6531,0.0207988,3.83575
