Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554145,0,0.111504,3.59953e-06,0.102893,0,1.23285,0.000681999,0.0114124,0,0.0876581,3.52032e-06,, , 0.0570064,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693165,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52032e-06,0.0585562
2,14.3228,14.4149,11.3427,0.00650592,0.384596,0.439797,3.53062,5.05148e-05,3.46808,3.56015,9.61615,0.00619674,0.122565,0.177766,2.66217,2.75037e-06,, , 0.49003,6.25664,0.281557,15.039,8.87695,9.61615,0.00619674,0.0155217,0.158904,0.122412,0.0190155,0.00836733,0.51324,2.66217,2.75037e-06,0.920125
3,3.9437,3.98386,7.27352,0.0121482,0.123902,0.148598,2.79396,4.68496e-05,0.835498,0.875664,6.41535,0.0115299,0.0460605,0.0707562,1.06442,4.22901e-06,, , 0.213825,1.37476,0.122576,5.19895,2.83585,6.41535,0.0115299,0.0293457,0.0690157,0.0396159,0.00818509,0.0073045,0.152882,1.06442,4.22901e-06,1.73961
4,5.81951,5.90624,7.76438,0.0259355,0.201289,0.251249,5.41695,7.42659e-05,1.0226,1.10932,6.41356,0.0246988,0.086655,0.136615,1.95893,1.20577e-05,, , 0.425835,1.4674,0.238688,8.71495,4.15019,6.41356,0.0246988,0.0584488,0.134943,0.072218,0.016109,0.0115958,0.228027,1.95893,1.20577e-05,3.46485
5,1.42536,1.45725,7.03569,0.0471317,0.0600278,0.0784808,7.62983,7.80545e-05,0.251534,0.283427,5.49987,0.0446583,0.0301146,0.0485677,0.715992,1.29923e-05,, , 0.156297,0.291019,0.0876438,6.27073,1.45379,5.49987,0.0446583,0.116473,0.0499772,0.0227841,0.00592098,0.017268,0.0652687,0.715992,1.29923e-05,6.90454
6,2.2847,2.35079,8.43806,0.0769641,0.102705,0.139555,15.2238,0.000116608,0.403237,0.46932,5.50069,0.0720173,0.059101,0.0959508,1.39642,1.24684e-05,, , 0.312047,0.387537,0.172973,11.9448,2.43759,5.50069,0.0720173,0.232886,0.0989047,0.0443615,0.0117856,0.0309699,0.101966,1.39642,1.24684e-05,13.8055
7,0.448091,0.449845,9.57536,0.0751784,0.0238263,0.0274105,49.3557,0.000199337,0.36651,0.368265,0.0128674,0.0582481,0.0123404,0.0159247,0.192925,7.08838e-06,, , 0.0087392,0.72115,0.00488577,12.0317,0.252186,0.0128674,0.0582481,0.827824,0.00966541,0.0174337,0.00116602,0.106011,0.0447805,0.192925,7.08838e-06,49.0734
8,0.027454,0.0276666,0.0180013,0.000342229,0.000486635,0.000511385,0.0602445,2.80978e-07,0.00177504,0.00198768,0.00203044,0.000321563,6.68722e-05,9.16212e-05,0.000225338,4.62999e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203044,0.000321563,0.00101147,5.60767e-05,8.41608e-05,1.82558e-05,0.000319475,0.000672753,0.000225338,4.62999e-08,0.0599602
Total,35.9964,28.5905,53.2652,0.244895,0.952247,1.0856,84.1226,0.000569511,6.45212,6.66813,34.6934,0.218353,0.368316,0.545672,8.07875,5.51528e-05,, , 1.66486,10.5072,0.948155,66.1026,21.4208,34.6934,0.218353,1.2825,0.528398,0.322039,0.0635518,0.183419,1.14651,8.07875,5.51528e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14008,0.00846761,1.56161,20.5077,0.0208195,3.83955
