Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72477,0,1.81752,0.000688974,0.0554123,0,0.111504,3.36798e-06,0.102872,0,1.23285,0.000681999,0.0114102,0,0.0876581,3.28878e-06,, , 0.056986,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00692941,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.28878e-06,0.0585562
2,14.3228,14.4148,11.3426,0.00688562,0.384497,0.439658,3.53061,0.000103888,3.46802,3.56008,9.6161,0.00657644,0.122467,0.177628,2.66217,6.08622e-06,, , 0.489902,6.25664,0.281557,15.039,8.87695,9.6161,0.00657644,0.0155217,0.158672,0.122412,0.0190106,0.00836733,0.51324,2.66217,6.08622e-06,0.920125
3,3.94375,3.98391,7.27358,0.0129052,0.124006,0.148772,2.79396,5.65576e-05,0.835551,0.875714,6.41541,0.0122868,0.0461649,0.0709304,1.06443,5.44251e-06,, , 0.213929,1.37476,0.122576,5.19895,2.83585,6.41541,0.0122868,0.0293457,0.0692909,0.0396159,0.00818854,0.0073045,0.152882,1.06443,5.44251e-06,1.73961
4,5.81928,5.90593,7.7643,0.0220659,0.201302,0.251364,5.41694,4.4025e-05,1.02236,1.10902,6.41349,0.0208292,0.0866686,0.13673,1.95893,4.49751e-06,, , 0.425298,1.4674,0.238688,8.71495,4.15019,6.41349,0.0208292,0.0584488,0.135079,0.072218,0.0161015,0.0115958,0.228027,1.95893,4.49751e-06,3.46485
5,1.42545,1.45733,7.03574,0.0531342,0.0600473,0.0784902,7.62983,0.000112621,0.251626,0.283512,5.49992,0.0506608,0.0301341,0.048577,0.715994,3.02754e-05,, , 0.156468,0.291019,0.0876438,6.27073,1.45379,5.49992,0.0506608,0.116473,0.0500033,0.0227841,0.00592366,0.017268,0.0652687,0.715994,3.02754e-05,6.90454
6,2.28483,2.35092,8.43801,0.0898358,0.102506,0.139201,15.2238,0.000125624,0.403363,0.46945,5.50064,0.084889,0.0589017,0.0955973,1.39642,2.1484e-05,, , 0.312303,0.387537,0.172973,11.9448,2.43759,5.50064,0.084889,0.232886,0.0983566,0.0443615,0.011781,0.0309699,0.101966,1.39642,2.1484e-05,13.8055
7,0.448091,0.449845,9.57535,0.0687359,0.0238199,0.0274053,49.3557,0.000198661,0.36651,0.368264,0.0128541,0.0518056,0.0123341,0.0159194,0.192924,6.41207e-06,, , 0.00873899,0.72115,0.00488577,12.0317,0.252186,0.0128541,0.0518056,0.827824,0.00965445,0.0174337,0.00116534,0.106011,0.0447805,0.192924,6.41207e-06,49.0734
8,0.027454,0.0276666,0.0180112,0.000306191,0.000486817,0.000511676,0.0602445,2.76213e-07,0.00177504,0.00198768,0.00204032,0.000285524,6.70537e-05,9.19128e-05,0.000225339,4.15348e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204032,0.000285524,0.00101147,5.65419e-05,8.41608e-05,1.82637e-05,0.000319475,0.000672753,0.000225339,4.15348e-08,0.0599602
Total,35.9964,28.5904,53.2652,0.254558,0.952078,1.0854,84.1226,0.000645021,6.45208,6.66803,34.6933,0.228015,0.368147,0.545474,8.07874,7.75281e-05,, , 1.66471,10.5072,0.948155,66.1026,21.4208,34.6933,0.228015,1.2825,0.528042,0.322039,0.0635402,0.183419,1.14651,8.07874,7.75281e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14009,0.00846693,1.56148,20.5085,0.0208154,3.8388
