Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77717,0,1.2223,0.0027059,0.0385562,0,0.107159,4.13816e-05,0.102971,0,0.952422,0.002678,0.0114152,0,0.0876101,4.13024e-05,, , 0.0569992,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002678,0.000919579,0.0069309,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,4.13024e-05,0.0545126
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000688974,0.0554131,0,0.111504,3.14554e-06,0.102886,0,1.23285,0.000681999,0.0114109,0,0.0876581,3.06634e-06,, , 0.0569994,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693018,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.06634e-06,0.0585562
2,14.3221,14.4141,11.3432,0.00605241,0.385241,0.440403,3.58599,3.35419e-05,3.46741,3.55934,9.61665,0.00574323,0.123211,0.178373,2.71755,1.68957e-06,, , 0.488552,6.25664,0.281557,15.039,8.87695,9.61665,0.00574323,0.0155217,0.160105,0.122412,0.0190665,0.00836733,0.51324,2.71755,1.68957e-06,0.920125
3,3.9436,3.98374,7.27443,0.0131283,0.124296,0.148808,2.81811,9.02418e-05,0.835396,0.875539,6.41626,0.01251,0.0464541,0.0709663,1.08858,9.65303e-06,, , 0.213599,1.37476,0.122576,5.19895,2.83585,6.41626,0.01251,0.0293457,0.0695726,0.0396159,0.00823192,0.0073045,0.152882,1.08858,9.65303e-06,1.73961
4,5.81981,5.90655,7.76515,0.0251003,0.201932,0.251626,5.46532,6.38022e-05,1.02289,1.10964,6.41433,0.0238636,0.0872983,0.136992,2.00731,9.44181e-06,, , 0.426445,1.4674,0.238688,8.71495,4.15019,6.41433,0.0238636,0.0584488,0.135884,0.072218,0.0161879,0.0115958,0.228027,2.00731,9.44181e-06,3.46485
