Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554127,0,0.111504,2.92031e-06,0.102888,0,1.23285,0.000681999,0.0114106,0,0.0876581,2.8411e-06,, , 0.0570012,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00692983,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.8411e-06,0.0585562
2,14.3222,14.4142,11.3434,0.00603369,0.385482,0.44059,3.61368,3.22167e-05,3.46748,3.55943,9.61693,0.00572451,0.123451,0.178559,2.74523,1.60675e-06,, , 0.488713,6.25664,0.281557,15.039,8.87695,9.61693,0.00572451,0.0155217,0.160504,0.122412,0.0190946,0.00836733,0.51324,2.74523,1.60675e-06,0.920125
3,3.94371,3.98387,7.27362,0.0132367,0.123974,0.148677,2.79396,7.13023e-05,0.835508,0.875665,6.41545,0.0126183,0.0461322,0.0708349,1.06443,7.2856e-06,, , 0.213836,1.37476,0.122576,5.19895,2.83585,6.41545,0.0126183,0.0293457,0.0691608,0.0396159,0.00819041,0.0073045,0.152882,1.06443,7.2856e-06,1.73961
4,5.81928,5.90597,7.76443,0.0230735,0.201277,0.251162,5.41695,4.78712e-05,1.02236,1.10905,6.41361,0.0218368,0.0866429,0.136528,1.95893,5.45905e-06,, , 0.425326,1.4674,0.238688,8.71495,4.15019,6.41361,0.0218368,0.0584488,0.134839,0.072218,0.0161144,0.0115958,0.228027,1.95893,5.45905e-06,3.46485
5,1.4253,1.45717,7.03567,0.0540942,0.0600129,0.0784622,7.62983,0.000124704,0.251479,0.283353,5.49985,0.0516208,0.0300997,0.048549,0.715992,3.6317e-05,, , 0.156169,0.291019,0.0876438,6.27073,1.45379,5.49985,0.0516208,0.116473,0.0499446,0.0227841,0.00592,0.017268,0.0652687,0.715992,3.6317e-05,6.90454
6,2.28466,2.35072,8.43805,0.0919523,0.102609,0.139369,15.2238,0.000128215,0.403197,0.469256,5.50068,0.0870055,0.0590052,0.095765,1.39642,2.40752e-05,, , 0.311926,0.387537,0.172973,11.9448,2.43759,5.50068,0.0870055,0.232886,0.098624,0.0443615,0.0117847,0.0309699,0.101966,1.39642,2.40752e-05,13.8055
7,0.448094,0.449845,9.57532,0.0815234,0.0237859,0.0273496,49.3539,0.000200003,0.366513,0.368265,0.0128297,0.0645931,0.0123001,0.0158637,0.19117,7.75481e-06,, , 0.00874197,0.72115,0.00488577,12.0317,0.252186,0.0128297,0.0645931,0.827824,0.00956599,0.0174337,0.00116409,0.106011,0.0447805,0.19117,7.75481e-06,49.0734
8,0.027454,0.0276666,0.0179975,0.000231113,0.000486762,0.000511674,0.0602445,2.67683e-07,0.00177504,0.00198768,0.00202659,0.000210446,6.69988e-05,9.19108e-05,0.000225338,3.30046e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00202659,0.000210446,0.00101147,5.64961e-05,8.41608e-05,1.82528e-05,0.000319475,0.000672753,0.000225338,3.30046e-08,0.0599602
Total,35.9955,28.5894,53.2661,0.270834,0.95304,1.08612,84.2039,0.000607501,6.4512,6.66701,34.6942,0.244291,0.369109,0.546192,8.16006,8.53725e-05,, , 1.66279,10.5072,0.948155,66.1026,21.4208,34.6942,0.244291,1.2825,0.529624,0.322039,0.0636378,0.183419,1.14651,8.16006,8.53725e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13803,0.00846584,1.56128,20.3209,0.0208087,3.83758
