Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72481,0,1.81752,0.000412678,0.0554169,0,0.111504,2.34014e-06,0.102912,0,1.23285,0.000405703,0.0114148,0,0.0876581,2.26093e-06,, , 0.0570257,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000405703,0.000987789,0.00693405,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.26093e-06,0.0585562
2,14.3229,14.415,11.3423,0.00244844,0.384385,0.439792,3.50292,1.03949e-05,3.46821,3.56025,9.61579,0.00213926,0.122354,0.177761,2.63447,2.42882e-07,, , 0.490255,6.25664,0.281557,15.039,8.87695,9.61579,0.00213926,0.0155217,0.158724,0.122412,0.018979,0.00836733,0.51324,2.63447,2.42882e-07,0.920125
3,3.94373,3.98389,7.27435,0.00423796,0.12426,0.148808,2.81811,1.63211e-05,0.835532,0.875686,6.41618,0.00361961,0.0464188,0.0709667,1.08858,4.1295e-07,, , 0.213882,1.37476,0.122576,5.19895,2.83585,6.41618,0.00361961,0.0293457,0.0695417,0.0396159,0.00822794,0.0073045,0.152882,1.08858,4.1295e-07,1.73961
4,5.81926,5.90593,7.76454,0.00724449,0.201564,0.251613,5.44112,2.88362e-05,1.02235,1.10902,6.41372,0.00600778,0.0869303,0.136979,1.98311,7.00296e-07,, , 0.425282,1.4674,0.238688,8.71495,4.15019,6.41372,0.00600778,0.0584488,0.135566,0.072218,0.0161256,0.0115958,0.228027,1.98311,7.00296e-07,3.46485
5,1.4256,1.45753,7.03595,0.0082438,0.0601695,0.0786151,7.62984,5.35531e-05,0.251781,0.283708,5.50013,0.00577037,0.0302563,0.0487019,0.715999,7.41528e-07,, , 0.156822,0.291019,0.0876438,6.27073,1.45379,5.50013,0.00577037,0.116473,0.0502397,0.0227841,0.00593437,0.017268,0.0652687,0.715999,7.41528e-07,6.90454
6,2.28533,2.3515,8.43848,0.0120487,0.103217,0.140097,15.2594,0.000105138,0.403858,0.470032,5.50111,0.00710182,0.0596128,0.0964929,1.43199,9.98366e-07,, , 0.313375,0.387537,0.172973,11.9448,2.43759,5.50111,0.00710182,0.232886,0.0999151,0.0443615,0.0118292,0.0309699,0.101966,1.43199,9.98366e-07,13.8055
7,0.448097,0.449853,9.57538,0.0201476,0.0238537,0.0274549,49.3574,0.00019327,0.366516,0.368273,0.0128888,0.00321731,0.0123678,0.015969,0.194678,1.02102e-06,, , 0.00875327,0.72115,0.00488577,12.0317,0.252186,0.0128888,0.00321731,0.827824,0.00973608,0.0174337,0.00116711,0.106011,0.0447805,0.194678,1.02102e-06,49.0734
8,0.027454,0.0276666,0.0180079,3.36711e-05,0.000486804,0.000511676,0.0602445,2.44466e-07,0.00177504,0.00198768,0.00203702,1.30042e-05,6.70405e-05,9.19123e-05,0.000225338,9.78803e-09,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203702,1.30042e-05,0.00101147,5.6531e-05,8.41608e-05,1.82611e-05,0.000319475,0.000672753,0.000225338,9.78803e-09,0.0599602
Total,35.9972,28.5914,53.2666,0.0548173,0.953353,1.08689,84.1805,0.000410098,6.45293,6.66895,34.6947,0.0282749,0.369422,0.546963,8.13671,6.38777e-06,, , 1.66648,10.5072,0.948155,66.1026,21.4208,34.6947,0.0282749,1.2825,0.530713,0.322039,0.0636328,0.183419,1.14651,8.13671,6.38777e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13859,0.00848105,1.56409,20.3711,0.0209009,3.85457
