Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000695224,0.0554136,0,0.111504,3.37468e-06,0.102888,0,1.23285,0.000688249,0.0114114,0,0.0876581,3.29547e-06,, , 0.0570017,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000688249,0.000987789,0.00693067,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29547e-06,0.0585562
2,14.3223,14.4143,11.3429,0.00716723,0.385053,0.440358,3.55831,0.000348895,3.46755,3.55953,9.61641,0.00685805,0.123022,0.178328,2.68986,2.13991e-05,, , 0.488881,6.25664,0.281557,15.039,8.87695,9.61641,0.00685805,0.0155217,0.159896,0.122412,0.0190421,0.00836733,0.51324,2.68986,2.13991e-05,0.920125
3,3.9437,3.98387,7.27391,0.0124578,0.124127,0.148814,2.80603,5.03825e-05,0.835501,0.875665,6.41574,0.0118394,0.0462852,0.0709723,1.0765,4.67063e-06,, , 0.21383,1.37476,0.122576,5.19895,2.83585,6.41574,0.0118394,0.0293457,0.0694363,0.0396159,0.00820529,0.0073045,0.152882,1.0765,4.67063e-06,1.73961
4,5.81916,5.90586,7.7642,0.0247347,0.201057,0.250981,5.39276,6.21755e-05,1.02225,1.10894,6.41338,0.0234979,0.0864235,0.136347,1.93474,9.03512e-06,, , 0.425106,1.4674,0.238688,8.71495,4.15019,6.41338,0.0234979,0.0584488,0.134462,0.072218,0.0160909,0.0115958,0.228027,1.93474,9.03512e-06,3.46485
5,1.42544,1.45735,7.03586,0.0481649,0.0601006,0.0785316,7.62983,8.0345e-05,0.251616,0.28353,5.50004,0.0456915,0.0301874,0.0486184,0.715997,1.41375e-05,, , 0.156473,0.291019,0.0876438,6.27073,1.45379,5.50004,0.0456915,0.116473,0.050092,0.0227841,0.00592974,0.017268,0.0652687,0.715997,1.41375e-05,6.90454
6,2.28487,2.35089,8.43807,0.0920426,0.102656,0.139441,15.2238,0.000128003,0.403406,0.46942,5.5007,0.0870958,0.0590521,0.0958374,1.39642,2.38626e-05,, , 0.312314,0.387537,0.172973,11.9448,2.43759,5.5007,0.0870958,0.232886,0.0987414,0.0443615,0.0117867,0.0309699,0.101966,1.39642,2.38626e-05,13.8055
7,0.448102,0.449856,9.57536,0.0573138,0.023826,0.0274105,49.3557,0.000197438,0.366521,0.368275,0.0128663,0.0403835,0.0123402,0.0159247,0.192925,5.18986e-06,, , 0.00876064,0.72115,0.00488577,12.0317,0.252186,0.0128663,0.0403835,0.827824,0.0096652,0.0174337,0.00116596,0.106011,0.0447805,0.192925,5.18986e-06,49.0734
8,0.027454,0.0276666,0.0180096,0.000299945,0.00048681,0.000511676,0.0602445,2.76363e-07,0.00177504,0.00198768,0.00203867,0.000279278,6.70472e-05,9.19126e-05,0.000225339,4.16845e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203867,0.000279278,0.00101147,5.65365e-05,8.41608e-05,1.82624e-05,0.000319475,0.000672753,0.000225339,4.16845e-08,0.0599602
Total,35.9958,28.5898,53.2659,0.242876,0.95272,1.08605,84.1381,0.00087089,6.4515,6.66735,34.694,0.216334,0.368789,0.54612,8.09433,8.16319e-05,, , 1.66345,10.5072,0.948155,66.1026,21.4208,34.694,0.216334,1.2825,0.529279,0.322039,0.0635904,0.183419,1.14651,8.09433,8.16319e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13966,0.00846781,1.56164,20.4701,0.0208207,3.83977
