Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554142,0,0.111504,2.69018e-06,0.10289,0,1.23285,0.000681999,0.011412,0,0.0876581,2.61097e-06,, , 0.057004,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693128,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.61097e-06,0.0585562
2,14.3227,14.4148,11.3425,0.00704044,0.3845,0.439799,3.53061,0.000154886,3.46801,3.56005,9.616,0.00673126,0.122469,0.177769,2.66216,9.27358e-06,, , 0.489856,6.25664,0.281557,15.039,8.87695,9.616,0.00673126,0.0155217,0.158826,0.122412,0.0189997,0.00836733,0.51324,2.66216,9.27358e-06,0.920125
3,3.94382,3.98399,7.27369,0.0110968,0.124073,0.148845,2.79396,3.31168e-05,0.835623,0.875794,6.41552,0.0104785,0.0462318,0.0710036,1.06443,2.51241e-06,, , 0.214081,1.37476,0.122576,5.19895,2.83585,6.41552,0.0104785,0.0293457,0.0694256,0.0396159,0.00819391,0.0073045,0.152882,1.06443,2.51241e-06,1.73961
4,5.81922,5.90591,7.76409,0.0254382,0.200876,0.250746,5.39275,6.54489e-05,1.0223,1.109,6.41327,0.0242015,0.0862426,0.136112,1.93474,9.85346e-06,, , 0.425212,1.4674,0.238688,8.71495,4.15019,6.41327,0.0242015,0.0584488,0.134057,0.072218,0.0160795,0.0115958,0.228027,1.93474,9.85346e-06,3.46485
5,1.4254,1.45728,7.03571,0.0510234,0.0600059,0.0784271,7.62983,9.29038e-05,0.251576,0.283457,5.49988,0.04855,0.0300927,0.048514,0.715993,2.04169e-05,, , 0.156367,0.291019,0.0876438,6.27073,1.45379,5.49988,0.04855,0.116473,0.0499008,0.0227841,0.0059218,0.017268,0.0652687,0.715993,2.04169e-05,6.90454
6,2.28476,2.35081,8.43807,0.0886279,0.102663,0.13945,15.2238,0.000124296,0.403291,0.469343,5.5007,0.0836811,0.0590592,0.0958459,1.39642,2.01556e-05,, , 0.312118,0.387537,0.172973,11.9448,2.43759,5.5007,0.0836811,0.232886,0.0987564,0.0443615,0.0117872,0.0309699,0.101966,1.39642,2.01556e-05,13.8055
7,0.448089,0.449845,9.57531,0.0663962,0.0237519,0.0272855,49.3539,0.00019842,0.366509,0.368264,0.0128198,0.0494659,0.0122661,0.0157997,0.191169,6.17188e-06,, , 0.00873573,0.72115,0.00488577,12.0317,0.252186,0.0128198,0.0494659,0.827824,0.00946846,0.0174337,0.00116359,0.106011,0.0447805,0.191169,6.17188e-06,49.0734
8,0.027454,0.0276666,0.0180085,0.000303054,0.000486806,0.000511676,0.0602445,2.75439e-07,0.00177504,0.00198768,0.00203757,0.000282387,6.70427e-05,9.19124e-05,0.000225339,4.07603e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203757,0.000282387,0.00101147,5.65328e-05,8.41608e-05,1.82615e-05,0.000319475,0.000672753,0.000225339,4.07603e-08,0.0599602
Total,35.9963,28.5903,53.2649,0.250615,0.951771,1.08506,84.0966,0.000672037,6.45198,6.66789,34.6931,0.224073,0.367841,0.545136,8.05279,7.10355e-05,, , 1.66445,10.5072,0.948155,66.1026,21.4208,34.6931,0.224073,1.2825,0.527422,0.322039,0.0635154,0.183419,1.14651,8.05279,7.10355e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14075,0.00846725,1.56154,20.5693,0.0208173,3.83915
