Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000676474,0.0554144,0,0.111504,3.5369e-05,0.102892,0,1.23285,0.000669499,0.0114122,0,0.0876581,3.52898e-05,, , 0.0570054,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000669499,0.000987789,0.00693148,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52898e-05,0.0585562
2,14.3228,14.4149,11.3426,0.00588676,0.384599,0.439893,3.53061,2.87558e-05,3.46809,3.56015,9.61608,0.00557758,0.122569,0.177863,2.66217,1.39044e-06,, , 0.490048,6.25664,0.281557,15.039,8.87695,9.61608,0.00557758,0.0155217,0.159011,0.122412,0.0190086,0.00836733,0.51324,2.66217,1.39044e-06,0.920125
3,3.94375,3.98391,7.27335,0.0135445,0.12391,0.148714,2.78188,0.000121804,0.835546,0.875706,6.41518,0.0129262,0.0460686,0.0708719,1.05235,1.35983e-05,, , 0.213916,1.37476,0.122576,5.19895,2.83585,6.41518,0.0129262,0.0293457,0.0691479,0.0396159,0.00817675,0.0073045,0.152882,1.05235,1.35983e-05,1.73961
4,5.81915,5.90578,7.76428,0.0238524,0.201056,0.250891,5.41694,5.14439e-05,1.02223,1.10887,6.41346,0.0226157,0.0864223,0.136257,1.95892,6.35221e-06,, , 0.425017,1.4674,0.238688,8.71495,4.15019,6.41346,0.0226157,0.0584488,0.134362,0.072218,0.0160991,0.0115958,0.228027,1.95892,6.35221e-06,3.46485
5,1.42537,1.45728,7.03562,0.0487401,0.0599266,0.0783148,7.62094,8.27667e-05,0.251549,0.283459,5.4998,0.0462666,0.0300135,0.0484016,0.707107,1.53483e-05,, , 0.156344,0.291019,0.0876438,6.27073,1.45379,5.4998,0.0462666,0.116473,0.0497134,0.0227841,0.00591755,0.017268,0.0652687,0.707107,1.53483e-05,6.90454
6,2.28454,2.35056,8.43795,0.0927043,0.102484,0.13923,15.2238,0.000127886,0.403075,0.469089,5.50058,0.0877575,0.0588806,0.0956261,1.39641,2.37461e-05,, , 0.311649,0.387537,0.172973,11.9448,2.43759,5.50058,0.0877575,0.232886,0.0983704,0.0443615,0.0117748,0.0309699,0.101966,1.39641,2.37461e-05,13.8055
7,0.448092,0.449847,9.57534,0.0814961,0.0237485,0.0272668,49.3539,0.000200018,0.366512,0.368266,0.0128409,0.0645658,0.0122626,0.015781,0.19117,7.76993e-06,, , 0.00874113,0.72115,0.00488577,12.0317,0.252186,0.0128409,0.0645658,0.827824,0.00944527,0.0174337,0.00116466,0.106011,0.0447805,0.19117,7.76993e-06,49.0734
8,0.027454,0.0276666,0.0180063,0.000325014,0.000486797,0.000511675,0.0602445,2.78465e-07,0.00177504,0.00198768,0.00203538,0.000304348,6.70339e-05,9.19121e-05,0.000225338,4.37868e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203538,0.000304348,0.00101147,5.65254e-05,8.41608e-05,1.82598e-05,0.000319475,0.000672753,0.000225338,4.37868e-08,0.0599602
Total,35.996,28.5899,53.2647,0.267226,0.951627,1.08482,84.0998,0.000648322,6.45167,6.66753,34.6928,0.240683,0.367696,0.544892,8.05602,0.000103539,, , 1.6638,10.5072,0.948155,66.1026,21.4208,34.6928,0.240683,1.2825,0.527038,0.322039,0.063511,0.183419,1.14651,8.05602,0.000103539,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14068,0.00846612,1.56133,20.5628,0.0208105,3.8379
