Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000695224,0.0554157,0,0.111504,4.05247e-06,0.1029,0,1.23285,0.000688249,0.0114136,0,0.0876581,3.97327e-06,, , 0.057014,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000688249,0.000987789,0.00693282,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.97327e-06,0.0585562
2,14.3229,14.415,11.3423,0.00709209,0.384158,0.439363,3.50292,0.00011791,3.46814,3.56024,9.61579,0.00678291,0.122127,0.177332,2.63447,6.96258e-06,, , 0.490176,6.25664,0.281557,15.039,8.87695,9.61579,0.00678291,0.0155217,0.158069,0.122412,0.0189784,0.00836733,0.51324,2.63447,6.96258e-06,0.920125
3,3.94371,3.98387,7.2734,0.0135337,0.123895,0.148655,2.78189,9.3576e-05,0.835513,0.875672,6.41523,0.0129153,0.0460529,0.0708136,1.05235,1.00698e-05,, , 0.213849,1.37476,0.122576,5.19895,2.83585,6.41523,0.0129153,0.0293457,0.0690715,0.0396159,0.00817912,0.0073045,0.152882,1.05235,1.00698e-05,1.73961
4,5.81924,5.90588,7.76414,0.02292,0.200927,0.250785,5.39275,4.8172e-05,1.02232,1.10896,6.41333,0.0216833,0.0862936,0.136151,1.93474,5.53424e-06,, , 0.425201,1.4674,0.238688,8.71495,4.15019,6.41333,0.0216833,0.0584488,0.134142,0.072218,0.016085,0.0115958,0.228027,1.93474,5.53424e-06,3.46485
5,1.42548,1.45739,7.0356,0.0474432,0.059958,0.078389,7.62094,7.90663e-05,0.251663,0.283571,5.49978,0.0449698,0.0300448,0.0484759,0.707106,1.34982e-05,, , 0.156571,0.291019,0.0876438,6.27073,1.45379,5.49978,0.0449698,0.116473,0.04982,0.0227841,0.00591658,0.017268,0.0652687,0.707106,1.34982e-05,6.90454
6,2.2847,2.35073,8.43799,0.0870327,0.102434,0.139083,15.2238,0.000122342,0.40323,0.469259,5.50062,0.0820858,0.0588306,0.0954791,1.39642,1.82016e-05,, , 0.311979,0.387537,0.172973,11.9448,2.43759,5.50062,0.0820858,0.232886,0.0981696,0.0443615,0.0117787,0.0309699,0.101966,1.39642,1.82016e-05,13.8055
7,0.448088,0.449842,9.57533,0.111153,0.0237026,0.0271754,49.3539,0.000203075,0.366507,0.368262,0.0128375,0.0942223,0.0122168,0.0156895,0.19117,1.08267e-05,, , 0.00873232,0.72115,0.00488577,12.0317,0.252186,0.0128375,0.0942223,0.827824,0.00930813,0.0174337,0.00116449,0.106011,0.0447805,0.19117,1.08267e-05,49.0734
8,0.027454,0.0276666,0.0180277,0.000346909,0.000486883,0.000511678,0.0602445,2.80532e-07,0.00177504,0.00198768,0.00205679,0.000326242,6.71197e-05,9.19151e-05,0.00022534,4.58536e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00205679,0.000326242,0.00101147,5.65971e-05,8.41608e-05,1.82769e-05,0.000319475,0.000672753,0.00022534,4.58536e-08,0.0599602
Total,35.9964,28.5904,53.2643,0.290216,0.950977,1.08396,84.048,0.000668474,6.45205,6.66795,34.6925,0.263674,0.367047,0.544034,8.00414,6.91123e-05,, , 1.6646,10.5072,0.948155,66.1026,21.4208,34.6925,0.263674,1.2825,0.52557,0.322039,0.0634718,0.183419,1.14651,8.00414,6.91123e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.142,0.00846444,1.56102,20.686,0.0208003,3.83603
