Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000676474,0.0554145,0,0.111504,3.14175e-06,0.102892,0,1.23285,0.000669499,0.0114123,0,0.0876581,3.06255e-06,, , 0.0570055,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000669499,0.000987789,0.00693158,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.06255e-06,0.0585562
2,14.3227,14.4147,11.3426,0.00625549,0.384447,0.439549,3.53061,4.25069e-05,3.46796,3.56,9.6161,0.00594631,0.122417,0.177518,2.66217,2.24988e-06,, , 0.489761,6.25664,0.281557,15.039,8.87695,9.6161,0.00594631,0.0155217,0.158513,0.122412,0.0190101,0.00836733,0.51324,2.66217,2.24988e-06,0.920125
3,3.94378,3.98395,7.27374,0.0114771,0.124061,0.148782,2.79396,3.72769e-05,0.835575,0.87575,6.41557,0.0108588,0.046219,0.0709404,1.06443,3.03242e-06,, , 0.213989,1.37476,0.122576,5.19895,2.83585,6.41557,0.0108588,0.0293457,0.0693468,0.0396159,0.00819666,0.0073045,0.152882,1.06443,3.03242e-06,1.73961
4,5.81902,5.90567,7.76426,0.0272676,0.201205,0.25121,5.41694,0.000141045,1.0221,1.10875,6.41345,0.0260309,0.086571,0.136576,1.95892,2.87524e-05,, , 0.424769,1.4674,0.238688,8.71495,4.15019,6.41345,0.0260309,0.0584488,0.134831,0.072218,0.0160974,0.0115958,0.228027,1.95892,2.87524e-05,3.46485
5,1.42553,1.45744,7.0358,0.0457926,0.0600945,0.0785557,7.62983,7.45742e-05,0.251705,0.28362,5.49997,0.0433192,0.0301814,0.0486426,0.715995,1.12521e-05,, , 0.156662,0.291019,0.0876438,6.27073,1.45379,5.49997,0.0433192,0.116473,0.0501134,0.0227841,0.00592643,0.017268,0.0652687,0.715995,1.12521e-05,6.90454
6,2.28466,2.35072,8.43809,0.0648919,0.102766,0.139637,15.2238,0.000112608,0.403192,0.469254,5.50072,0.0599451,0.059162,0.0960329,1.39642,8.46842e-06,, , 0.311899,0.387537,0.172973,11.9448,2.43759,5.50072,0.0599451,0.232886,0.0990443,0.0443615,0.0117892,0.0309699,0.101966,1.39642,8.46842e-06,13.8055
7,0.448091,0.449846,9.57537,0.120139,0.0238324,0.0274214,49.3557,0.000204078,0.36651,0.368265,0.0128706,0.103208,0.0123466,0.0159356,0.192925,1.18296e-05,, , 0.00874045,0.72115,0.00488577,12.0317,0.252186,0.0128706,0.103208,0.827824,0.00968228,0.0174337,0.00116618,0.106011,0.0447805,0.192925,1.18296e-05,49.0734
8,0.027454,0.0276666,0.0180128,0.00018422,0.000486824,0.000511676,0.0602445,2.63976e-07,0.00177504,0.00198768,0.00204197,0.000163553,6.70604e-05,9.1913e-05,0.000225339,2.92974e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204197,0.000163553,0.00101147,5.65476e-05,8.41608e-05,1.82651e-05,0.000319475,0.000672753,0.000225339,2.92974e-08,0.0599602
Total,35.996,28.59,53.2654,0.276684,0.952307,1.08567,84.1226,0.000615495,6.45172,6.66762,34.6936,0.250142,0.368376,0.545737,8.07875,6.86766e-05,, , 1.66391,10.5072,0.948155,66.1026,21.4208,34.6936,0.250142,1.2825,0.528519,0.322039,0.0635555,0.183419,1.14651,8.07875,6.86766e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14008,0.00846538,1.5612,20.5074,0.020806,3.83707
