Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000688974,0.0554136,0,0.111504,3.8187e-06,0.102881,0,1.23285,0.000681999,0.0114114,0,0.0876581,3.7395e-06,, , 0.056995,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.0069307,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.7395e-06,0.0585562
2,14.3228,14.4149,11.3424,0.00716232,0.384246,0.439454,3.50292,0.000224645,3.46807,3.56012,9.61586,0.00685314,0.122215,0.177424,2.63448,1.36335e-05,, , 0.489999,6.25664,0.281557,15.039,8.87695,9.61586,0.00685314,0.0155217,0.158241,0.122412,0.0189855,0.00836733,0.51324,2.63448,1.36335e-05,0.920125
3,3.94377,3.98394,7.27319,0.0137245,0.123799,0.148587,2.78188,0.000112446,0.835571,0.875736,6.41503,0.0131061,0.0459578,0.0707453,1.05235,1.24286e-05,, , 0.213971,1.37476,0.122576,5.19895,2.83585,6.41503,0.0131061,0.0293457,0.0689185,0.0396159,0.00816869,0.0073045,0.152882,1.05235,1.24286e-05,1.73961
4,5.81918,5.90589,7.76427,0.0262326,0.201144,0.25108,5.41694,7.68089e-05,1.02226,1.10897,6.41345,0.0249959,0.0865104,0.136446,1.95892,1.26935e-05,, , 0.425151,1.4674,0.238688,8.71495,4.15019,6.41345,0.0249959,0.0584488,0.134641,0.072218,0.0160979,0.0115958,0.228027,1.95892,1.26935e-05,3.46485
5,1.4253,1.45718,7.03557,0.046707,0.0599566,0.0784047,7.62094,7.63015e-05,0.251482,0.283354,5.49975,0.0442335,0.0300434,0.0484916,0.707105,1.21157e-05,, , 0.156172,0.291019,0.0876438,6.27073,1.45379,5.49975,0.0442335,0.116473,0.049836,0.0227841,0.00591493,0.017268,0.0652687,0.707105,1.21157e-05,6.90454
6,2.28476,2.35085,8.43804,0.0856904,0.102601,0.139361,15.2238,0.000121273,0.403294,0.46938,5.50067,0.0807435,0.058997,0.0957576,1.39642,1.71325e-05,, , 0.312143,0.387537,0.172973,11.9448,2.43759,5.50067,0.0807435,0.232886,0.0986088,0.0443615,0.0117843,0.0309699,0.101966,1.39642,1.71325e-05,13.8055
7,0.448091,0.449845,9.57533,0.0953384,0.0237633,0.0273022,49.3539,0.000201451,0.366511,0.368264,0.0128323,0.0784081,0.0122775,0.0158164,0.19117,9.20283e-06,, , 0.00873718,0.72115,0.00488577,12.0317,0.252186,0.0128323,0.0784081,0.827824,0.00949593,0.0174337,0.00116422,0.106011,0.0447805,0.19117,9.20283e-06,49.0734
8,0.027454,0.0276666,0.0180101,0.00027807,0.000486813,0.000511676,0.0602445,2.74346e-07,0.00177504,0.00198768,0.00203922,0.000257403,6.70493e-05,9.19126e-05,0.000225339,3.96674e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203922,0.000257403,0.00101147,5.65383e-05,8.41608e-05,1.82629e-05,0.000319475,0.000672753,0.000225339,3.96674e-08,0.0599602
Total,35.9962,28.5902,53.2643,0.275822,0.951411,1.0847,84.0721,0.000817018,6.45185,6.66782,34.6925,0.24928,0.36748,0.544772,8.02833,8.09858e-05,, , 1.66425,10.5072,0.948155,66.1026,21.4208,34.6925,0.24928,1.2825,0.526728,0.322039,0.0634852,0.183419,1.14651,8.02833,8.09858e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14137,0.0084655,1.56122,20.6273,0.0208067,3.8372
