Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554138,0,0.111504,3.37117e-06,0.10289,0,1.23285,0.000681999,0.0114117,0,0.0876581,3.29197e-06,, , 0.0570034,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.0069309,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29197e-06,0.0585562
2,14.3225,14.4145,11.3428,0.00714984,0.384814,0.440116,3.53063,0.00026767,3.46773,3.55972,9.61624,0.00684067,0.122784,0.178086,2.66218,1.63226e-05,, , 0.489259,6.25664,0.281557,15.039,8.87695,9.61624,0.00684067,0.0155217,0.159433,0.122412,0.0190244,0.00836733,0.51324,2.66218,1.63226e-05,0.920125
3,3.9437,3.98387,7.27362,0.0136494,0.124046,0.148827,2.79396,0.000105633,0.835504,0.875671,6.41545,0.0130311,0.0462047,0.0709853,1.06443,1.15769e-05,, , 0.213839,1.37476,0.122576,5.19895,2.83585,6.41545,0.0130311,0.0293457,0.0693835,0.0396159,0.0081906,0.0073045,0.152882,1.06443,1.15769e-05,1.73961
4,5.8191,5.90575,7.76424,0.026714,0.201186,0.251198,5.41694,9.80363e-05,1.02219,1.10884,6.41343,0.0254773,0.0865523,0.136564,1.95892,1.80003e-05,, , 0.424937,1.4674,0.238688,8.71495,4.15019,6.41343,0.0254773,0.0584488,0.134804,0.072218,0.0160951,0.0115958,0.228027,1.95892,1.80003e-05,3.46485
5,1.42533,1.45722,7.03572,0.0479332,0.0600199,0.0784477,7.62983,8.00723e-05,0.251509,0.2834,5.4999,0.0454598,0.0301067,0.0485346,0.715993,1.40011e-05,, , 0.156244,0.291019,0.0876438,6.27073,1.45379,5.4999,0.0454598,0.116473,0.0499346,0.0227841,0.00592251,0.017268,0.0652687,0.715993,1.40011e-05,6.90454
6,2.28478,2.35085,8.43803,0.0956334,0.1026,0.139376,15.2238,0.000134168,0.403315,0.469387,5.50065,0.0906866,0.0589957,0.0957723,1.39642,3.00282e-05,, , 0.312178,0.387537,0.172973,11.9448,2.43759,5.50065,0.0906866,0.232886,0.098624,0.0443615,0.0117824,0.0309699,0.101966,1.39642,3.00282e-05,13.8055
7,0.448091,0.449847,9.57533,0.103172,0.023745,0.0272623,49.3539,0.000202252,0.36651,0.368266,0.0128353,0.086242,0.0122592,0.0157764,0.19117,1.00037e-05,, , 0.00873697,0.72115,0.00488577,12.0317,0.252186,0.0128353,0.086242,0.827824,0.00943753,0.0174337,0.00116438,0.106011,0.0447805,0.19117,1.00037e-05,49.0734
8,0.027454,0.0276666,0.0179914,0.00018109,0.000486738,0.000511673,0.0602423,2.63915e-07,0.00177504,0.00198768,0.00202055,0.000160423,6.69747e-05,9.19101e-05,0.000223193,2.92364e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00202055,0.000160423,0.00101147,5.6476e-05,8.41608e-05,1.8248e-05,0.000319475,0.000672753,0.000223193,2.92364e-08,0.0599602
Total,35.9957,28.5897,53.2652,0.295122,0.952311,1.08574,84.1208,0.000891468,6.45142,6.66727,34.6934,0.26858,0.368381,0.54581,8.07699,0.000103254,, , 1.66328,10.5072,0.948155,66.1026,21.4208,34.6934,0.26858,1.2825,0.528603,0.322039,0.063549,0.183419,1.14651,8.07699,0.000103254,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14011,0.00846412,1.56096,20.5111,0.0207984,3.83567
