Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554149,0,0.111504,3.82328e-06,0.102895,0,1.23285,0.000681999,0.0114127,0,0.0876581,3.74408e-06,, , 0.0570082,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693197,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.74408e-06,0.0585562
2,14.3227,14.4148,11.3424,0.0065215,0.384215,0.439309,3.50293,6.72357e-05,3.468,3.56004,9.61592,0.00621232,0.122185,0.177278,2.63448,3.79544e-06,, , 0.489843,6.25664,0.281557,15.039,8.87695,9.61592,0.00621232,0.0155217,0.158059,0.122412,0.0189921,0.00836733,0.51324,2.63448,3.79544e-06,0.920125
3,3.94374,3.98391,7.27356,0.0125894,0.124004,0.148783,2.79396,4.77498e-05,0.835538,0.875713,6.41539,0.0119711,0.0461622,0.0709409,1.06443,4.34153e-06,, , 0.213914,1.37476,0.122576,5.19895,2.83585,6.41539,0.0119711,0.0293457,0.0693001,0.0396159,0.00818713,0.0073045,0.152882,1.06443,4.34153e-06,1.73961
4,5.81904,5.90572,7.7641,0.0278086,0.200846,0.250672,5.39275,0.000161084,1.02212,1.1088,6.41328,0.0265719,0.0862123,0.136038,1.93474,3.37623e-05,, , 0.424836,1.4674,0.238688,8.71495,4.15019,6.41328,0.0265719,0.0584488,0.133952,0.072218,0.0160805,0.0115958,0.228027,1.93474,3.37623e-05,3.46485
5,1.42543,1.45731,7.03567,0.0562514,0.0600022,0.0784366,7.62983,0.000189841,0.251609,0.283484,5.49985,0.053778,0.030089,0.0485234,0.715992,6.88856e-05,, , 0.156426,0.291019,0.0876438,6.27073,1.45379,5.49985,0.053778,0.116473,0.0499081,0.0227841,0.00592022,0.017268,0.0652687,0.715992,6.88856e-05,6.90454
6,2.28472,2.35081,8.43795,0.0880589,0.102525,0.13931,15.2238,0.000124138,0.403255,0.469346,5.50058,0.0831121,0.0589214,0.0957065,1.39641,1.99976e-05,, , 0.312084,0.387537,0.172973,11.9448,2.43759,5.50058,0.0831121,0.232886,0.0984914,0.0443615,0.011775,0.0309699,0.101966,1.39641,1.99976e-05,13.8055
7,0.448092,0.449847,9.57536,0.0707627,0.0237248,0.0272049,49.3557,0.000198895,0.366511,0.368267,0.0128644,0.0538324,0.0122389,0.015719,0.192924,6.64612e-06,, , 0.00873916,0.72115,0.00488577,12.0317,0.252186,0.0128644,0.0538324,0.827824,0.00935838,0.0174337,0.00116587,0.106011,0.0447805,0.192924,6.64612e-06,49.0734
8,0.027454,0.0276666,0.0179958,0.000234247,0.000486756,0.000511674,0.0602423,2.68408e-07,0.00177504,0.00198768,0.00202494,0.00021358,6.69922e-05,9.19107e-05,0.000223193,3.37293e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00202494,0.00021358,0.00101147,5.64907e-05,8.41608e-05,1.82515e-05,0.000319475,0.000672753,0.000223193,3.37293e-08,0.0599602
Total,35.996,28.59,53.2646,0.262916,0.951219,1.08423,84.0707,0.000793035,6.45171,6.66764,34.6928,0.236373,0.367288,0.544298,8.02686,0.000141206,, , 1.66393,10.5072,0.948155,66.1026,21.4208,34.6928,0.236373,1.2825,0.526057,0.322039,0.0634904,0.183419,1.14651,8.02686,0.000141206,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14142,0.00846643,1.56139,20.6321,0.0208123,3.83824
