Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
3,6.54978,6.43934,7.44883,0.00160801,0.561963,0.683818,2.84296,7.97919e-05,0.620047,0.509612,6.41661,2.6587e-05,0.399123,0.520977,1.11343,7.7445e-08,, , 0.507125,0.331079,0.291454,6.32512,8.56164,6.41661,2.6587e-05,0.0293457,0.723395,0.138474,0.0582305,0.0105279,0.33295,1.11343,7.7445e-08,1.73961
4,9.72172,9.50732,7.99481,0.00320843,1.05294,1.29731,5.75578,0.000159262,1.13749,0.923088,6.41773,4.55787e-05,0.79989,1.04426,2.29777,1.48941e-07,, , 1.01413,0.470007,0.576443,10.9189,11.8169,6.41773,4.55787e-05,0.0584488,1.45253,0.273694,0.117923,0.0166781,0.526365,2.29777,1.48941e-07,3.46485
4,9.72172,9.50732,7.99407,0.00320843,1.05294,1.29731,5.70752,0.000159262,1.13749,0.923088,6.41699,4.55787e-05,0.79989,1.04426,2.2495,1.48941e-07,, , 1.01413,0.470007,0.576443,10.9189,11.8169,6.41699,4.55787e-05,0.0584488,1.45253,0.273694,0.117923,0.0166781,0.526365,2.2495,1.48941e-07,3.46485
5,1.70348,1.66292,7.00096,0.00639059,0.375254,0.464612,7.74593,0.000318488,0.21001,0.169448,5.5035,6.48875e-05,0.296354,0.385712,0.832096,2.79664e-07,, , 0.186071,0.0863279,0.107059,5.98969,2.42674,5.5035,6.48875e-05,0.116473,0.539839,0.0999325,0.0422942,0.0236741,0.210007,0.832096,2.79664e-07,6.90454
5,1.70348,1.66292,6.99908,0.00639059,0.375254,0.464612,7.69272,0.000318488,0.21001,0.169448,5.50162,6.48875e-05,0.296354,0.385712,0.778888,2.79664e-07,, , 0.186071,0.0863279,0.107059,5.98969,2.42674,5.50162,6.48875e-05,0.116473,0.539839,0.0999325,0.0422942,0.0236741,0.210007,0.778888,2.79664e-07,6.90454
6,2.7119,2.63309,8.38979,0.0127644,0.716426,0.894002,15.3837,0.000636404,0.402619,0.32381,5.50229,0.000112954,0.587401,0.764977,1.5563,5.47458e-07,, , 0.372646,0.14198,0.211802,11.6293,3.74086,5.50229,0.000112954,0.232886,1.07176,0.19892,0.0816983,0.0414532,0.368669,1.5563,5.47458e-07,13.8055
6,2.7119,2.63309,8.38919,0.0127644,0.716426,0.894002,15.3482,0.000636404,0.402619,0.32381,5.50169,0.000112954,0.587401,0.764977,1.5208,5.47458e-07,, , 0.372646,0.14198,0.211802,11.6293,3.74086,5.50169,0.000112954,0.232886,1.07176,0.19892,0.0816983,0.0414532,0.368669,1.5208,5.47458e-07,13.8055
7,2.30099,2.29872,9.57136,0.0432315,0.126983,0.144293,49.3697,0.00116782,2.25255,2.25028,0.0088618,0.000273602,0.0975555,0.114866,0.206944,1.85872e-06,, , 0.010378,4.48649,0.00596437,11.9572,0.311009,0.0088618,0.000273602,0.827824,0.10213,0.102794,0.00749788,0.137035,0.244384,0.206944,1.85872e-06,49.0734
8,0.0965241,0.0962341,0.0309405,5.31275e-05,0.000791195,0.000843726,0.0602445,1.42901e-06,0.0014771,0.00118708,0.00205734,6.88604e-07,0.000131383,0.000183914,0.000225339,5.71652e-09,, , 0.00129996,0.000612419,0.000751796,0.242812,0.142959,0.00205734,6.88604e-07,0.00101147,0.000231029,6.40066e-05,2.02607e-05,0.000343207,0.00136684,0.000225339,5.71652e-09,0.0599602
Total,71.305,51.7399,56.896,0.0680799,4.37708,5.11123,84.6732,0.00240358,8.63223,6.51712,34.6987,0.000539761,3.1615,3.9801,8.62941,2.96185e-06,, , 4.97395,7.17003,3.00536,78.8078,73.9077,34.6987,0.000539761,1.2825,5.5447,1.15367,0.443231,0.2432,2.71067,8.62941,2.96185e-06,76.0265
