Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554143,0,0.111504,3.6056e-06,0.102891,0,1.23285,0.000681999,0.0114121,0,0.0876581,3.5264e-06,, , 0.0570047,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693138,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.5264e-06,0.0585562
2,14.3228,14.4149,11.3426,0.00645265,0.384628,0.439986,3.53061,4.69531e-05,3.46811,3.56019,9.61605,0.00614348,0.122597,0.177955,2.66216,2.52777e-06,, , 0.490095,6.25664,0.281557,15.039,8.87695,9.61605,0.00614348,0.0155217,0.159135,0.122412,0.0190054,0.00836733,0.51324,2.66216,2.52777e-06,0.920125
3,3.94375,3.9839,7.27375,0.013435,0.124093,0.148843,2.79396,9.751e-05,0.835552,0.875701,6.41559,0.0128167,0.0462517,0.0710017,1.06443,1.05616e-05,, , 0.213917,1.37476,0.122576,5.19895,2.83585,6.41559,0.0128167,0.0293457,0.0694403,0.0396159,0.00819733,0.0073045,0.152882,1.06443,1.05616e-05,1.73961
4,5.81946,5.90619,7.76427,0.0228794,0.2011,0.250982,5.41694,4.7247e-05,1.02255,1.10928,6.41346,0.0216427,0.0864658,0.136348,1.95892,5.303e-06,, , 0.425741,1.4674,0.238688,8.71495,4.15019,6.41346,0.0216427,0.0584488,0.134498,0.072218,0.0160984,0.0115958,0.228027,1.95892,5.303e-06,3.46485
5,1.42544,1.45734,7.03569,0.0494316,0.0600193,0.0784652,7.62983,8.48451e-05,0.251623,0.283521,5.49986,0.0469581,0.0301061,0.048552,0.715992,1.63875e-05,, , 0.156481,0.291019,0.0876438,6.27073,1.45379,5.49986,0.0469581,0.116473,0.0499532,0.0227841,0.00592079,0.017268,0.0652687,0.715992,1.63875e-05,6.90454
6,2.28475,2.35082,8.43817,0.0875845,0.102849,0.139717,15.2416,0.000122255,0.403287,0.469355,5.5008,0.0826377,0.0592448,0.0961128,1.4142,1.81151e-05,, , 0.312133,0.387537,0.172973,11.9448,2.43759,5.5008,0.0826377,0.232886,0.0991991,0.0443615,0.011797,0.0309699,0.101966,1.4142,1.81151e-05,13.8055
7,0.448086,0.449844,9.57532,0.101096,0.0238073,0.0273958,49.3539,0.000202033,0.366506,0.368263,0.0128249,0.0841656,0.0123214,0.01591,0.19117,9.7844e-06,, , 0.00873357,0.72115,0.00488577,12.0317,0.252186,0.0128249,0.0841656,0.827824,0.00963388,0.0174337,0.00116385,0.106011,0.0447805,0.19117,9.7844e-06,49.0734
8,0.027454,0.0276666,0.0180178,0.000256164,0.000486843,0.000511677,0.0602445,2.73875e-07,0.00177504,0.00198768,0.00204691,0.000235497,6.70802e-05,9.19138e-05,0.000225339,3.91971e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204691,0.000235497,0.00101147,5.65641e-05,8.41608e-05,1.8269e-05,0.000319475,0.000672753,0.000225339,3.91971e-08,0.0599602
Total,35.9966,28.5907,53.2653,0.281824,0.952397,1.0859,84.1386,0.000604723,6.45229,6.66829,34.6935,0.255282,0.368466,0.545972,8.09477,6.6245e-05,, , 1.66519,10.5072,0.948155,66.1026,21.4208,34.6935,0.255282,1.2825,0.528847,0.322039,0.0635523,0.183419,1.14651,8.09477,6.6245e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13967,0.00846493,1.56111,20.4702,0.0208033,3.83657
