Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554149,0,0.111504,3.1527e-06,0.1029,0,1.23285,0.000681999,0.0114127,0,0.0876581,3.0735e-06,, , 0.0570131,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.006932,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.0735e-06,0.0585562
2,14.3224,14.4145,11.3429,0.00637772,0.385013,0.440351,3.5583,4.26056e-05,3.4677,3.55971,9.61635,0.00606854,0.122983,0.17832,2.68986,2.25605e-06,, , 0.489209,6.25664,0.281557,15.039,8.87695,9.61635,0.00606854,0.0155217,0.159855,0.122412,0.0190363,0.00836733,0.51324,2.68986,2.25605e-06,0.920125
3,3.94375,3.98391,7.27388,0.0140543,0.124119,0.148814,2.80603,0.000191501,0.835551,0.875714,6.41571,0.0134359,0.046277,0.0709722,1.0765,2.23104e-05,, , 0.213929,1.37476,0.122576,5.19895,2.83585,6.41571,0.0134359,0.0293457,0.0694295,0.0396159,0.00820382,0.0073045,0.152882,1.0765,2.23104e-05,1.73961
4,5.81945,5.90617,7.76434,0.0250222,0.201174,0.251061,5.41694,6.39478e-05,1.02253,1.10926,6.41352,0.0237855,0.0865401,0.136427,1.95893,9.47821e-06,, , 0.425705,1.4674,0.238688,8.71495,4.15019,6.41352,0.0237855,0.0584488,0.134644,0.072218,0.0161048,0.0115958,0.228027,1.95893,9.47821e-06,3.46485
5,1.42556,1.45743,7.03579,0.0484807,0.0600829,0.078531,7.62983,8.22412e-05,0.251735,0.283611,5.49997,0.0460072,0.0301697,0.0486178,0.715995,1.50856e-05,, , 0.156681,0.291019,0.0876438,6.27073,1.45379,5.49997,0.0460072,0.116473,0.0500771,0.0227841,0.00592627,0.017268,0.0652687,0.715995,1.50856e-05,6.90454
6,2.28476,2.35085,8.43815,0.0843108,0.102849,0.139734,15.2416,0.000120359,0.403293,0.469387,5.50078,0.0793639,0.0592449,0.0961301,1.4142,1.62187e-05,, , 0.312171,0.387537,0.172973,11.9448,2.43759,5.50078,0.0793639,0.232886,0.0992181,0.0443615,0.0117955,0.0309699,0.101966,1.4142,1.62187e-05,13.8055
7,0.44809,0.449844,9.57534,0.105466,0.0238048,0.0273802,49.3539,0.000202524,0.36651,0.368264,0.0128424,0.0885359,0.012319,0.0158944,0.19117,1.02759e-05,, , 0.00873619,0.72115,0.00488577,12.0317,0.252186,0.0128424,0.0885359,0.827824,0.00961491,0.0174337,0.00116474,0.106011,0.0447805,0.19117,1.02759e-05,49.0734
8,0.027454,0.0276666,0.0179854,0.000335992,0.000486714,0.000511673,0.0602423,2.79516e-07,0.00177504,0.00198768,0.00201451,0.000315325,6.69505e-05,9.19092e-05,0.000223193,4.48372e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00201451,0.000315325,0.00101147,5.64558e-05,8.41608e-05,1.82431e-05,0.000319475,0.000672753,0.000223193,4.48372e-08,0.0599602
Total,35.9963,28.5903,53.2659,0.284737,0.952944,1.08638,84.1783,0.000706611,6.45199,6.66793,34.6941,0.258194,0.369013,0.546454,8.13453,7.87432e-05,, , 1.66452,10.5072,0.948155,66.1026,21.4208,34.6941,0.258194,1.2825,0.529827,0.322039,0.063601,0.183419,1.14651,8.13453,7.87432e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13866,0.00846473,1.56108,20.3779,0.0208021,3.83634
