Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.055415,0,0.111504,3.37394e-06,0.102894,0,1.23285,0.000681999,0.0114128,0,0.0876581,3.29474e-06,, , 0.057007,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693208,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29474e-06,0.0585562
2,14.3229,14.4149,11.3423,0.00723466,0.384295,0.43965,3.50292,0.000437275,3.46812,3.56019,9.61577,0.00692548,0.122264,0.17762,2.63447,2.69229e-05,, , 0.490114,6.25664,0.281557,15.039,8.87695,9.61577,0.00692548,0.0155217,0.158495,0.122412,0.018977,0.00836733,0.51324,2.63447,2.69229e-05,0.920125
3,3.94374,3.9839,7.27385,0.0139762,0.124093,0.14878,2.80603,0.00012807,0.835535,0.875704,6.41568,0.0133579,0.0462511,0.0709381,1.0765,1.43815e-05,, , 0.213902,1.37476,0.122576,5.19895,2.83585,6.41568,0.0133579,0.0293457,0.069371,0.0396159,0.00820229,0.0073045,0.152882,1.0765,1.43815e-05,1.73961
4,5.81926,5.90594,7.76425,0.0264203,0.201131,0.251075,5.41694,8.21849e-05,1.02234,1.10903,6.41343,0.0251836,0.086497,0.136442,1.95892,1.40375e-05,, , 0.425286,1.4674,0.238688,8.71495,4.15019,6.41343,0.0251836,0.0584488,0.134624,0.072218,0.0160961,0.0115958,0.228027,1.95892,1.40375e-05,3.46485
5,1.4256,1.45751,7.03575,0.0456491,0.0600449,0.078481,7.62983,7.33497e-05,0.251781,0.283685,5.49993,0.0431756,0.0301317,0.0485678,0.715994,1.06399e-05,, , 0.156803,0.291019,0.0876438,6.27073,1.45379,5.49993,0.0431756,0.116473,0.0499915,0.0227841,0.00592393,0.017268,0.0652687,0.715994,1.06399e-05,6.90454
6,2.28488,2.35099,8.43807,0.108811,0.102612,0.139347,15.2238,0.000184893,0.403416,0.469526,5.5007,0.103864,0.0590084,0.0957428,1.39642,8.07535e-05,, , 0.312433,0.387537,0.172973,11.9448,2.43759,5.5007,0.103864,0.232886,0.0986023,0.0443615,0.0117874,0.0309699,0.101966,1.39642,8.07535e-05,13.8055
7,0.448091,0.449847,9.57535,0.100555,0.0237723,0.0273074,49.3557,0.000201982,0.36651,0.368266,0.0128543,0.0836245,0.0122864,0.0158216,0.192924,9.7332e-06,, , 0.008738,0.72115,0.00488577,12.0317,0.252186,0.0128543,0.0836245,0.827824,0.00950899,0.0174337,0.00116535,0.106011,0.0447805,0.192924,9.7332e-06,49.0734
8,0.027454,0.0276666,0.0179843,0.000321887,0.00048652,0.000511285,0.0602423,2.79206e-07,0.00177504,0.00198768,0.00201341,0.00030122,6.67566e-05,9.1522e-05,0.000223193,4.45279e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00201341,0.00030122,0.00101147,5.58756e-05,8.41608e-05,1.82422e-05,0.000319475,0.000672753,0.000223193,4.45279e-08,0.0599602
Total,35.9967,28.5908,53.2651,0.303657,0.951849,1.08515,84.1069,0.00111141,6.45238,6.66839,34.6932,0.277114,0.367919,0.545223,8.06311,0.000159808,, , 1.66536,10.5072,0.948155,66.1026,21.4208,34.6932,0.277114,1.2825,0.527581,0.322039,0.0635216,0.183419,1.14651,8.06311,0.000159808,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14048,0.00846337,1.56083,20.5451,0.0207939,3.83483
