Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000462937,0.055416,0,0.111504,3.0695e-06,0.102905,0,1.23285,0.000455962,0.0114138,0,0.0876581,2.99029e-06,, , 0.0570189,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000455962,0.000987789,0.00693309,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.99029e-06,0.0585562
2,14.3229,14.415,11.3424,0.00233557,0.38431,0.439559,3.50292,1.01989e-05,3.46815,3.56021,9.61586,0.00202639,0.122279,0.177529,2.63448,2.30633e-07,, , 0.490159,6.25664,0.281557,15.039,8.87695,9.61586,0.00202639,0.0155217,0.15841,0.122412,0.018986,0.00836733,0.51324,2.63448,2.30633e-07,0.920125
3,3.94378,3.98395,7.2742,0.00458615,0.124245,0.148871,2.81811,1.6621e-05,0.835584,0.875752,6.41603,0.00396779,0.046403,0.071029,1.08857,4.50433e-07,, , 0.213999,1.37476,0.122576,5.19895,2.83585,6.41603,0.00396779,0.0293457,0.0695959,0.0396159,0.00822029,0.0073045,0.152882,1.08857,4.50433e-07,1.73961
4,5.81922,5.90595,7.76445,0.004246,0.201457,0.251499,5.41695,2.75777e-05,1.0223,1.10904,6.41364,0.00300929,0.086823,0.136866,1.95894,3.85669e-07,, , 0.425258,1.4674,0.238688,8.71495,4.15019,6.41364,0.00300929,0.0584488,0.135354,0.072218,0.0161167,0.0115958,0.228027,1.95894,3.85669e-07,3.46485
5,1.42551,1.45743,7.0359,0.0190506,0.0601506,0.0786066,7.62983,5.58893e-05,0.251684,0.28361,5.50008,0.0165772,0.0302374,0.0486934,0.715998,1.90965e-06,, , 0.156626,0.291019,0.0876438,6.27073,1.45379,5.50008,0.0165772,0.116473,0.0502148,0.0227841,0.00593191,0.017268,0.0652687,0.715998,1.90965e-06,6.90454
6,2.28523,2.35138,8.43819,0.0216007,0.102916,0.13983,15.2416,0.000106164,0.403766,0.469912,5.50082,0.0166539,0.0593127,0.0962263,1.4142,2.02393e-06,, , 0.313168,0.387537,0.172973,11.9448,2.43759,5.50082,0.0166539,0.232886,0.0993785,0.0443615,0.011799,0.0309699,0.101966,1.4142,2.02393e-06,13.8055
7,0.448092,0.449855,9.57538,0.0183007,0.0238392,0.0274261,49.3574,0.000192958,0.366511,0.368274,0.0128869,0.00137045,0.0123534,0.0159402,0.194678,7.09401e-07,, , 0.0087438,0.72115,0.00488577,12.0317,0.252186,0.0128869,0.00137045,0.827824,0.00969291,0.0174337,0.00116701,0.106011,0.0447805,0.194678,7.09401e-07,49.0734
8,0.027454,0.0276666,0.0180068,6.83076e-05,0.000486799,0.000511675,0.0602445,2.49754e-07,0.00177504,0.00198768,0.00203593,4.76408e-05,6.70361e-05,9.19122e-05,0.000225338,1.50756e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203593,4.76408e-05,0.00101147,5.65273e-05,8.41608e-05,1.82602e-05,0.000319475,0.000672753,0.000225338,1.50756e-08,0.0599602
Total,35.997,28.5912,53.266,0.0706511,0.95282,1.0863,84.1386,0.000412728,6.45268,6.66878,34.6942,0.0441086,0.36889,0.546375,8.09475,8.71509e-06,, , 1.66605,10.5072,0.948155,66.1026,21.4208,34.6942,0.0441086,1.2825,0.529635,0.322039,0.0635905,0.183419,1.14651,8.09475,8.71509e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13966,0.00847998,1.56389,20.4685,0.0208944,3.85337
