Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554142,0,0.111504,3.37159e-06,0.102896,0,1.23285,0.000681999,0.011412,0,0.0876581,3.29238e-06,, , 0.0570094,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.0069313,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29238e-06,0.0585562
2,14.3223,14.4143,11.3431,0.00620864,0.385241,0.44052,3.58599,5.66171e-05,3.46754,3.55952,9.61658,0.00589947,0.12321,0.17849,2.71754,3.13177e-06,, , 0.488864,6.25664,0.281557,15.039,8.87695,9.61658,0.00589947,0.0155217,0.160228,0.122412,0.0190598,0.00836733,0.51324,2.71754,3.13177e-06,0.920125
3,3.94371,3.98388,7.27406,0.010903,0.124197,0.148859,2.80604,3.23589e-05,0.835514,0.875679,6.41589,0.0102846,0.0463553,0.0710177,1.07651,2.41768e-06,, , 0.213857,1.37476,0.122576,5.19895,2.83585,6.41589,0.0102846,0.0293457,0.0695441,0.0396159,0.00821299,0.0073045,0.152882,1.07651,2.41768e-06,1.73961
4,5.81931,5.90598,7.76434,0.0223626,0.201246,0.251204,5.41694,4.75814e-05,1.02239,1.10907,6.41352,0.0211259,0.0866126,0.13657,1.95893,5.38659e-06,, , 0.425373,1.4674,0.238688,8.71495,4.15019,6.41352,0.0211259,0.0584488,0.13486,0.072218,0.0161047,0.0115958,0.228027,1.95893,5.38659e-06,3.46485
5,1.42541,1.45732,7.03578,0.0474637,0.0600744,0.0785215,7.62983,7.73636e-05,0.251592,0.283501,5.49996,0.0449902,0.0301613,0.0486083,0.715995,1.26468e-05,, , 0.156426,0.291019,0.0876438,6.27073,1.45379,5.49996,0.0449902,0.116473,0.0500598,0.0227841,0.0059257,0.017268,0.0652687,0.715995,1.26468e-05,6.90454
6,2.28464,2.35067,8.43804,0.0643363,0.102533,0.139222,15.2238,0.000112643,0.403171,0.469204,5.50067,0.0593895,0.0589296,0.0956183,1.39642,8.50336e-06,, , 0.311853,0.387537,0.172973,11.9448,2.43759,5.50067,0.0593895,0.232886,0.0984023,0.0443615,0.0117841,0.0309699,0.101966,1.39642,8.50336e-06,13.8055
7,0.448089,0.449844,9.57536,0.0959713,0.0238105,0.0273799,49.3557,0.000201524,0.366508,0.368264,0.012864,0.079041,0.0123246,0.015894,0.192924,9.27578e-06,, , 0.0087354,0.72115,0.00488577,12.0317,0.252186,0.012864,0.079041,0.827824,0.00961912,0.0174337,0.00116584,0.106011,0.0447805,0.192924,9.27578e-06,49.0734
8,0.027454,0.0276666,0.0180085,0.000400131,0.000486806,0.000511676,0.0602445,2.89093e-07,0.00177504,0.00198768,0.00203757,0.000379465,6.70427e-05,9.19123e-05,0.000225339,5.44147e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203757,0.000379465,0.00101147,5.65327e-05,8.41608e-05,1.82615e-05,0.000319475,0.000672753,0.000225339,5.44147e-08,0.0599602
Total,35.9957,28.5896,53.2662,0.248335,0.953003,1.08622,84.19,0.000531749,6.45139,6.66723,34.6944,0.221792,0.369073,0.54629,8.1462,4.47088e-05,, , 1.6632,10.5072,0.948155,66.1026,21.4208,34.6944,0.221792,1.2825,0.529701,0.322039,0.0636227,0.183419,1.14651,8.1462,4.47088e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13837,0.00846741,1.56157,20.352,0.0208182,3.83933
