Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554151,0,0.111504,3.37292e-06,0.102898,0,1.23285,0.000681999,0.011413,0,0.0876581,3.29372e-06,, , 0.0570117,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693221,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29372e-06,0.0585562
2,14.3228,14.4148,11.3426,0.00698423,0.384516,0.439733,3.53061,9.19539e-05,3.46803,3.56007,9.61607,0.00667505,0.122485,0.177703,2.66217,5.34032e-06,, , 0.489899,6.25664,0.281557,15.039,8.87695,9.61607,0.00667505,0.0155217,0.158768,0.122412,0.0190076,0.00836733,0.51324,2.66217,5.34032e-06,0.920125
3,3.9437,3.98385,7.27347,0.0121922,0.123925,0.148674,2.78189,4.32639e-05,0.835497,0.875651,6.4153,0.0115739,0.0460835,0.0708326,1.05236,3.7808e-06,, , 0.213812,1.37476,0.122576,5.19895,2.83585,6.4153,0.0115739,0.0293457,0.0691176,0.0396159,0.00818267,0.0073045,0.152882,1.05236,3.7808e-06,1.73961
4,5.81902,5.90565,7.76425,0.0216311,0.201075,0.250963,5.41694,4.37102e-05,1.0221,1.10873,6.41343,0.0203943,0.0864412,0.136329,1.95892,4.41879e-06,, , 0.424743,1.4674,0.238688,8.71495,4.15019,6.41343,0.0203943,0.0584488,0.134456,0.072218,0.016096,0.0115958,0.228027,1.95892,4.41879e-06,3.46485
5,1.42543,1.45733,7.03573,0.0501546,0.0600469,0.0784951,7.62983,8.77156e-05,0.251612,0.283508,5.49991,0.0476812,0.0301337,0.0485819,0.715994,1.78228e-05,, , 0.156448,0.291019,0.0876438,6.27073,1.45379,5.49991,0.0476812,0.116473,0.0500084,0.0227841,0.00592308,0.017268,0.0652687,0.715994,1.78228e-05,6.90454
6,2.28474,2.35082,8.43813,0.0710851,0.102844,0.139757,15.2416,0.000114211,0.403272,0.469349,5.50076,0.0661383,0.0592404,0.0961533,1.4142,1.00709e-05,, , 0.312112,0.387537,0.172973,11.9448,2.43759,5.50076,0.0661383,0.232886,0.0992394,0.0443615,0.0117928,0.0309699,0.101966,1.4142,1.00709e-05,13.8055
7,0.448077,0.449832,9.57531,0.089243,0.0237643,0.0273131,49.3539,0.00020082,0.366496,0.368251,0.0128158,0.0723127,0.0122785,0.0158273,0.191169,8.5717e-06,, , 0.00870847,0.72115,0.00488577,12.0317,0.252186,0.0128158,0.0723127,0.827824,0.00950867,0.0174337,0.00116338,0.106011,0.0447805,0.191169,8.5717e-06,49.0734
8,0.027454,0.0276666,0.0180244,0.000284246,0.00048687,0.000511678,0.0602445,2.74704e-07,0.00177504,0.00198768,0.0020535,0.000263579,6.71064e-05,9.19146e-05,0.000225339,4.00252e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.0020535,0.000263579,0.00101147,5.6586e-05,8.41608e-05,1.82743e-05,0.000319475,0.000672753,0.000225339,4.00252e-08,0.0599602
Total,35.996,28.59,53.265,0.252263,0.952073,1.08545,84.1265,0.000585322,6.45168,6.66755,34.6932,0.225721,0.368143,0.545519,8.08269,5.3339e-05,, , 1.66381,10.5072,0.948155,66.1026,21.4208,34.6932,0.225721,1.2825,0.528087,0.322039,0.0635352,0.183419,1.14651,8.08269,5.3339e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13999,0.00846717,1.56153,20.4994,0.0208168,3.83906
