Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72481,0,1.81752,0.000412937,0.0554169,0,0.111504,2.13288e-06,0.102912,0,1.23285,0.000405962,0.0114148,0,0.0876581,2.05367e-06,, , 0.0570251,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000405962,0.000987789,0.00693402,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.05367e-06,0.0585562
2,14.3228,14.4148,11.3422,0.00285248,0.384204,0.439587,3.50291,1.15199e-05,3.46802,3.56007,9.61566,0.0025433,0.122173,0.177557,2.63446,3.13194e-07,, , 0.489898,6.25664,0.281557,15.039,8.87695,9.61566,0.0025433,0.0155217,0.158352,0.122412,0.0189656,0.00836733,0.51324,2.63446,3.13194e-07,0.920125
3,3.94372,3.98388,7.27435,0.00419746,0.124295,0.148879,2.81811,1.62741e-05,0.83552,0.87568,6.41619,0.0035791,0.0464534,0.0710376,1.08858,4.07072e-07,, , 0.213863,1.37476,0.122576,5.19895,2.83585,6.41619,0.0035791,0.0293457,0.0696471,0.0396159,0.00822801,0.0073045,0.152882,1.08858,4.07072e-07,1.73961
4,5.81939,5.90606,7.76453,0.00757363,0.201549,0.251589,5.44112,2.89697e-05,1.02247,1.10915,6.41372,0.00633691,0.0869156,0.136955,1.98311,7.33686e-07,, , 0.425535,1.4674,0.238688,8.71495,4.15019,6.41372,0.00633691,0.0584488,0.135528,0.072218,0.016125,0.0115958,0.228027,1.98311,7.33686e-07,3.46485
5,1.42554,1.45746,7.03588,0.0209377,0.060129,0.0785728,7.62983,5.62664e-05,0.251722,0.283635,5.50006,0.0184643,0.0302158,0.0486596,0.715997,2.09818e-06,, , 0.156694,0.291019,0.0876438,6.27073,1.45379,5.50006,0.0184643,0.116473,0.0501605,0.0227841,0.0059308,0.017268,0.0652687,0.715997,2.09818e-06,6.90454
6,2.28539,2.35158,8.43842,0.0309588,0.103162,0.140061,15.2594,0.000107133,0.40392,0.470114,5.50105,0.026012,0.0595584,0.0964573,1.43198,2.993e-06,, , 0.313522,0.387537,0.172973,11.9448,2.43759,5.50105,0.026012,0.232886,0.0998317,0.0443615,0.0118225,0.0309699,0.101966,1.43198,2.993e-06,13.8055
7,0.448096,0.449853,9.57539,0.0196447,0.0238228,0.0273885,49.3574,0.000193199,0.366516,0.368272,0.012893,0.00271439,0.012337,0.0159027,0.194678,9.50241e-07,, , 0.00875213,0.72115,0.00488577,12.0317,0.252186,0.012893,0.00271439,0.827824,0.00963863,0.0174337,0.00116733,0.106011,0.0447805,0.194678,9.50241e-07,49.0734
8,0.027454,0.0276666,0.0180079,6.20545e-05,0.000486804,0.000511676,0.0602445,2.48811e-07,0.00177504,0.00198768,0.00203702,4.13876e-05,6.70406e-05,9.19123e-05,0.000225338,1.41322e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203702,4.13876e-05,0.00101147,5.6531e-05,8.41608e-05,1.82611e-05,0.000319475,0.000672753,0.000225338,1.41322e-08,0.0599602
Total,35.9972,28.5913,53.2663,0.0866398,0.953066,1.08659,84.1805,0.000415744,6.45286,6.66891,34.6945,0.0600973,0.369135,0.546661,8.13669,9.56318e-06,, , 1.66637,10.5072,0.948155,66.1026,21.4208,34.6945,0.0600973,1.2825,0.530148,0.322039,0.0636088,0.183419,1.14651,8.13669,9.56318e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1386,0.00847879,1.56367,20.3724,0.0208872,3.85204
