Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000450178,0.0554158,0,0.111504,2.53434e-06,0.102902,0,1.23285,0.000443203,0.0114136,0,0.0876581,2.45514e-06,, , 0.0570152,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000443203,0.000987789,0.0069329,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.45514e-06,0.0585562
2,14.3229,14.4149,11.3423,0.00254851,0.384218,0.439508,3.50292,1.06606e-05,3.46811,3.56018,9.61575,0.00223933,0.122188,0.177477,2.63447,2.59493e-07,, , 0.490094,6.25664,0.281557,15.039,8.87695,9.61575,0.00223933,0.0155217,0.158278,0.122412,0.0189749,0.00836733,0.51324,2.63447,2.59493e-07,0.920125
3,3.94376,3.98392,7.27416,0.00451105,0.124207,0.148818,2.8181,1.66429e-05,0.835564,0.875723,6.41599,0.0038927,0.0463654,0.0709764,1.08857,4.53177e-07,, , 0.21395,1.37476,0.122576,5.19895,2.83585,6.41599,0.0038927,0.0293457,0.0695078,0.0396159,0.00821818,0.0073045,0.152882,1.08857,4.53177e-07,1.73961
4,5.8193,5.906,7.76452,0.00775542,0.201527,0.251557,5.41696,2.90701e-05,1.02239,1.10908,6.41371,0.00651871,0.0868935,0.136924,1.95894,7.58767e-07,, , 0.425388,1.4674,0.238688,8.71495,4.15019,6.41371,0.00651871,0.0584488,0.135475,0.072218,0.016124,0.0115958,0.228027,1.95894,7.58767e-07,3.46485
5,1.42558,1.45749,7.03588,0.0155644,0.0601373,0.0785908,7.62983,5.50962e-05,0.251759,0.283666,5.50006,0.0130909,0.0302241,0.0486776,0.715997,1.51311e-06,, , 0.156762,0.291019,0.0876438,6.27073,1.45379,5.50006,0.0130909,0.116473,0.0501867,0.0227841,0.0059309,0.017268,0.0652687,0.715997,1.51311e-06,6.90454
6,2.28516,2.35132,8.4383,0.0229177,0.103042,0.139955,15.2416,0.000106292,0.40369,0.469852,5.50093,0.0179709,0.0594379,0.096351,1.41421,2.15154e-06,, , 0.313032,0.387537,0.172973,11.9448,2.43759,5.50093,0.0179709,0.232886,0.0996171,0.0443615,0.0118104,0.0309699,0.101966,1.41421,2.15154e-06,13.8055
7,0.448095,0.449854,9.5754,0.0190161,0.0238717,0.0274814,49.3574,0.000193089,0.366514,0.368273,0.0129055,0.00208581,0.0123858,0.0159955,0.194679,8.40389e-07,, , 0.00875082,0.72115,0.00488577,12.0317,0.252186,0.0129055,0.00208581,0.827824,0.00977968,0.0174337,0.00116797,0.106011,0.0447805,0.194679,8.40389e-07,49.0734
8,0.027454,0.0276666,0.0180123,6.84326e-05,0.000486821,0.000511676,0.0602445,2.50415e-07,0.00177504,0.00198768,0.00204142,4.77658e-05,6.70581e-05,9.19129e-05,0.000225339,1.57361e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204142,4.77658e-05,0.00101147,5.65456e-05,8.41608e-05,1.82646e-05,0.000319475,0.000672753,0.000225339,1.57361e-08,0.0599602
Total,35.997,28.5912,53.2661,0.0728318,0.952906,1.08642,84.1386,0.000413635,6.4527,6.66877,34.6942,0.0462893,0.368976,0.546493,8.09475,8.44735e-06,, , 1.66607,10.5072,0.948155,66.1026,21.4208,34.6942,0.0462893,1.2825,0.529834,0.322039,0.0635959,0.183419,1.14651,8.09475,8.44735e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13965,0.00847982,1.56386,20.468,0.0208934,3.85319
