Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000688974,0.0554135,0,0.111504,3.60198e-06,0.102884,0,1.23285,0.000681999,0.0114113,0,0.0876581,3.52278e-06,, , 0.0569976,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693056,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52278e-06,0.0585562
2,14.3227,14.4148,11.3427,0.00644327,0.384601,0.439805,3.53062,5.02509e-05,3.468,3.56005,9.61615,0.00613409,0.12257,0.177775,2.66217,2.73389e-06,, , 0.489854,6.25664,0.281557,15.039,8.87695,9.61615,0.00613409,0.0155217,0.158917,0.122412,0.0190157,0.00836733,0.51324,2.66217,2.73389e-06,0.920125
3,3.94377,3.98394,7.27353,0.0142654,0.123974,0.148738,2.79396,0.000202487,0.835572,0.875735,6.41536,0.013647,0.0461326,0.0708964,1.06443,2.36837e-05,, , 0.213971,1.37476,0.122576,5.19895,2.83585,6.41536,0.013647,0.0293457,0.0692274,0.0396159,0.00818578,0.0073045,0.152882,1.06443,2.36837e-05,1.73961
4,5.81945,5.90618,7.76427,0.022135,0.201105,0.250997,5.41694,4.41885e-05,1.02253,1.10927,6.41346,0.0208983,0.0864712,0.136363,1.95892,4.53837e-06,, , 0.425715,1.4674,0.238688,8.71495,4.15019,6.41346,0.0208983,0.0584488,0.134518,0.072218,0.0160982,0.0115958,0.228027,1.95892,4.53837e-06,3.46485
5,1.42552,1.45742,7.0357,0.0482778,0.0600275,0.0784741,7.62983,8.09208e-05,0.251696,0.283601,5.49988,0.0458043,0.0301143,0.0485609,0.715993,1.44254e-05,, , 0.156634,0.291019,0.0876438,6.27073,1.45379,5.49988,0.0458043,0.116473,0.0499696,0.0227841,0.00592147,0.017268,0.0652687,0.715993,1.44254e-05,6.90454
6,2.2848,2.3509,8.43801,0.0905633,0.102563,0.139322,15.2238,0.00012495,0.403328,0.469432,5.50064,0.0856164,0.0589594,0.0957178,1.39642,2.08104e-05,, , 0.31225,0.387537,0.172973,11.9448,2.43759,5.50064,0.0856164,0.232886,0.0985349,0.0443615,0.0117809,0.0309699,0.101966,1.39642,2.08104e-05,13.8055
7,0.448085,0.449846,9.57538,0.0819383,0.0238217,0.0273933,49.3557,0.000200057,0.366504,0.368265,0.0128805,0.065008,0.0123359,0.0159074,0.192925,7.80851e-06,, , 0.00873127,0.72115,0.00488577,12.0317,0.252186,0.0128805,0.065008,0.827824,0.00964292,0.0174337,0.00116669,0.106011,0.0447805,0.192925,7.80851e-06,49.0734
8,0.027454,0.0276666,0.0180216,0.000353217,0.000486859,0.000511678,0.0602445,2.82993e-07,0.00177504,0.00198768,0.00205075,0.00033255,6.70955e-05,9.19142e-05,0.000225339,4.83148e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00205075,0.00033255,0.00101147,5.65768e-05,8.41608e-05,1.82721e-05,0.000319475,0.000672753,0.000225339,4.83148e-08,0.0599602
Total,35.9966,28.5907,53.2651,0.264665,0.951993,1.08524,84.1226,0.00070674,6.45229,6.66834,34.6933,0.238123,0.368062,0.545313,8.07874,7.75713e-05,, , 1.66523,10.5072,0.948155,66.1026,21.4208,34.6933,0.238123,1.2825,0.527798,0.322039,0.0635382,0.183419,1.14651,8.07874,7.75713e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14009,0.00846617,1.56134,20.5091,0.0208108,3.83795
