Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554147,0,0.111504,3.60034e-06,0.102895,0,1.23285,0.000681999,0.0114125,0,0.0876581,3.52114e-06,, , 0.0570084,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693179,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.52114e-06,0.0585562
2,14.323,14.4151,11.3426,0.00738072,0.384454,0.439599,3.53061,0.000612423,3.46822,3.56031,9.61608,0.00707154,0.122424,0.177568,2.66217,3.78696e-05,, , 0.490329,6.25664,0.281557,15.039,8.87695,9.61608,0.00707154,0.0155217,0.158571,0.122412,0.0190086,0.00836733,0.51324,2.66217,3.78696e-05,0.920125
3,3.94365,3.98382,7.2733,0.0143311,0.123861,0.148652,2.78188,0.000291375,0.835446,0.875617,6.41513,0.0137128,0.0460192,0.0708105,1.05235,3.47947e-05,, , 0.213726,1.37476,0.122576,5.19895,2.83585,6.41513,0.0137128,0.0293457,0.06904,0.0396159,0.00817387,0.0073045,0.152882,1.05235,3.47947e-05,1.73961
4,5.81921,5.9059,7.7644,0.0210267,0.201339,0.251328,5.41695,4.13869e-05,1.02229,1.10899,6.41358,0.01979,0.0867054,0.136694,1.95893,3.83798e-06,, , 0.425195,1.4674,0.238688,8.71495,4.15019,6.41358,0.01979,0.0584488,0.13507,0.072218,0.016111,0.0115958,0.228027,1.95893,3.83798e-06,3.46485
5,1.42533,1.45722,7.0356,0.0531702,0.059991,0.0784571,7.62094,0.000120067,0.251504,0.283394,5.49978,0.0506968,0.0300778,0.0485439,0.707106,3.39986e-05,, , 0.156235,0.291019,0.0876438,6.27073,1.45379,5.49978,0.0506968,0.116473,0.0499212,0.0227841,0.00591642,0.017268,0.0652687,0.707106,3.39986e-05,6.90454
6,2.28459,2.35061,8.43799,0.087399,0.102589,0.139393,15.2238,0.0001229,0.403123,0.469142,5.50062,0.0824522,0.058985,0.0957894,1.39642,1.87598e-05,, , 0.311755,0.387537,0.172973,11.9448,2.43759,5.50062,0.0824522,0.232886,0.0986339,0.0443615,0.0117791,0.0309699,0.101966,1.39642,1.87598e-05,13.8055
7,0.448092,0.449846,9.57534,0.129912,0.0237685,0.0273051,49.3539,0.000205214,0.366511,0.368266,0.0128457,0.112981,0.0122827,0.0158193,0.191171,1.29659e-05,, , 0.00873893,0.72115,0.00488577,12.0317,0.252186,0.0128457,0.112981,0.827824,0.00950335,0.0174337,0.00116491,0.106011,0.0447805,0.191171,1.29659e-05,49.0734
8,0.027454,0.0276666,0.0180282,0.000174838,0.000486885,0.000511678,0.0602445,2.61488e-07,0.00177504,0.00198768,0.00205734,0.000154171,6.71218e-05,9.19151e-05,0.00022534,2.68095e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00205734,0.000154171,0.00101147,5.65988e-05,8.41608e-05,1.82773e-05,0.000319475,0.000672753,0.00022534,2.68095e-08,0.0599602
Total,35.9961,28.5901,53.2648,0.314083,0.951904,1.08525,84.0998,0.00139723,6.45176,6.6677,34.6929,0.287541,0.367973,0.545317,8.05603,0.000145775,, , 1.66407,10.5072,0.948155,66.1026,21.4208,34.6929,0.287541,1.2825,0.527728,0.322039,0.0635235,0.183419,1.14651,8.05603,0.000145775,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14064,0.00846274,1.56071,20.561,0.02079,3.83413
