Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554146,0,0.111504,3.1498e-06,0.102891,0,1.23285,0.000681999,0.0114125,0,0.0876581,3.0706e-06,, , 0.0570043,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693171,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.0706e-06,0.0585562
2,14.3228,14.4149,11.3423,0.00708905,0.384294,0.439606,3.50292,0.000328029,3.46809,3.56018,9.61581,0.00677987,0.122264,0.177576,2.63447,2.0095e-05,, , 0.490067,6.25664,0.281557,15.039,8.87695,9.61581,0.00677987,0.0155217,0.158447,0.122412,0.0189811,0.00836733,0.51324,2.63447,2.0095e-05,0.920125
3,3.94375,3.98392,7.27389,0.0115632,0.124142,0.14886,2.80603,3.49391e-05,0.835549,0.875721,6.41572,0.0109449,0.0463003,0.0710186,1.0765,2.7402e-06,, , 0.213934,1.37476,0.122576,5.19895,2.83585,6.41572,0.0109449,0.0293457,0.0694988,0.0396159,0.00820425,0.0073045,0.152882,1.0765,2.7402e-06,1.73961
4,5.81904,5.90566,7.76413,0.0239151,0.201046,0.251049,5.39275,5.29338e-05,1.02213,1.10875,6.41331,0.0226784,0.0864124,0.136415,1.93474,6.7247e-06,, , 0.42479,1.4674,0.238688,8.71495,4.15019,6.41331,0.0226784,0.0584488,0.134526,0.072218,0.0160832,0.0115958,0.228027,1.93474,6.7247e-06,3.46485
5,1.42537,1.45727,7.03567,0.0487373,0.0600072,0.0784526,7.62983,8.15625e-05,0.251551,0.283445,5.49985,0.0462639,0.030094,0.0485395,0.715992,1.47462e-05,, , 0.156333,0.291019,0.0876438,6.27073,1.45379,5.49985,0.0462639,0.116473,0.0499295,0.0227841,0.00591988,0.017268,0.0652687,0.715992,1.47462e-05,6.90454
6,2.28469,2.35077,8.43791,0.10954,0.102304,0.13891,15.2238,0.00020551,0.403223,0.469303,5.50054,0.104594,0.0587001,0.0953066,1.39641,0.00010137,, , 0.311998,0.387537,0.172973,11.9448,2.43759,5.50054,0.104594,0.232886,0.0978744,0.0443615,0.0117708,0.0309699,0.101966,1.39641,0.00010137,13.8055
7,0.448091,0.449851,9.57534,0.115706,0.0237412,0.027247,49.3557,0.000203563,0.36651,0.368271,0.012849,0.0987756,0.0122553,0.0157611,0.192924,1.1314e-05,, , 0.0087428,0.72115,0.00488577,12.0317,0.252186,0.012849,0.0987756,0.827824,0.00941769,0.0174337,0.00116508,0.106011,0.0447805,0.192924,1.1314e-05,49.0734
8,0.027454,0.0276666,0.0180172,0.000259238,0.000486841,0.000511677,0.0602445,2.71582e-07,0.00177504,0.00198768,0.00204636,0.000238571,6.70779e-05,9.19137e-05,0.000225339,3.69038e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204636,0.000238571,0.00101147,5.65623e-05,8.41608e-05,1.82686e-05,0.000319475,0.000672753,0.000225339,3.69038e-08,0.0599602
Total,35.996,28.5901,53.2648,0.317499,0.951436,1.08464,84.0827,0.000909958,6.45172,6.66765,34.693,0.290957,0.367506,0.544709,8.03893,0.000160097,, , 1.66395,10.5072,0.948155,66.1026,21.4208,34.693,0.290957,1.2825,0.526682,0.322039,0.0634939,0.183419,1.14651,8.03893,0.000160097,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14111,0.0084625,1.56067,20.6027,0.0207886,3.83386
