Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72479,0,1.81752,0.000688974,0.0554147,0,0.111504,3.14734e-06,0.102891,0,1.23285,0.000681999,0.0114125,0,0.0876581,3.06814e-06,, , 0.0570043,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693179,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.06814e-06,0.0585562
2,14.3229,14.4149,11.3424,0.00710138,0.384351,0.439684,3.50292,0.000177626,3.46812,3.5602,9.61584,0.0067922,0.12232,0.177654,2.63448,1.06948e-05,, , 0.490125,6.25664,0.281557,15.039,8.87695,9.61584,0.0067922,0.0155217,0.158577,0.122412,0.018984,0.00836733,0.51324,2.63448,1.06948e-05,0.920125
3,3.94382,3.98399,7.27377,0.0142545,0.124111,0.148869,2.79397,0.000238517,0.835618,0.875791,6.41561,0.0136361,0.0462693,0.0710276,1.06443,2.81875e-05,, , 0.214073,1.37476,0.122576,5.19895,2.83585,6.41561,0.0136361,0.0293457,0.0694828,0.0396159,0.00819833,0.0073045,0.152882,1.06443,2.81875e-05,1.73961
4,5.81929,5.90597,7.76409,0.0249973,0.201014,0.251023,5.39275,6.19629e-05,1.02237,1.10905,6.41327,0.0237606,0.0863799,0.136389,1.93474,8.98197e-06,, , 0.425338,1.4674,0.238688,8.71495,4.15019,6.41327,0.0237606,0.0584488,0.134472,0.072218,0.0160794,0.0115958,0.228027,1.93474,8.98197e-06,3.46485
5,1.42558,1.45749,7.03579,0.0462224,0.0600864,0.078542,7.62983,7.39928e-05,0.251756,0.28367,5.49997,0.043749,0.0301732,0.0486289,0.715995,1.09614e-05,, , 0.156762,0.291019,0.0876438,6.27073,1.45379,5.49997,0.043749,0.116473,0.0500919,0.0227841,0.00592608,0.017268,0.0652687,0.715995,1.09614e-05,6.90454
6,2.28465,2.35065,8.43792,0.0854464,0.102315,0.138929,15.2238,0.000121071,0.403187,0.469186,5.50054,0.0804996,0.058711,0.0953247,1.39641,1.6931e-05,, , 0.311862,0.387537,0.172973,11.9448,2.43759,5.50054,0.0804996,0.232886,0.0979032,0.0443615,0.0117711,0.0309699,0.101966,1.39641,1.6931e-05,13.8055
7,0.448091,0.449853,9.57536,0.0680398,0.0237767,0.0273123,49.3557,0.000198598,0.36651,0.368272,0.0128635,0.0511095,0.0122908,0.0158265,0.192924,6.34923e-06,, , 0.00873889,0.72115,0.00488577,12.0317,0.252186,0.0128635,0.0511095,0.827824,0.00951781,0.0174337,0.00116582,0.106011,0.0447805,0.192924,6.34923e-06,49.0734
8,0.027454,0.0276666,0.018015,0.000224854,0.000486832,0.000511677,0.0602445,2.68629e-07,0.00177504,0.00198768,0.00204416,0.000204187,6.70691e-05,9.19133e-05,0.000225339,3.3951e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204416,0.000204187,0.00101147,5.65548e-05,8.41608e-05,1.82668e-05,0.000319475,0.000672753,0.000225339,3.3951e-08,0.0599602
Total,35.9965,28.5906,53.2648,0.246976,0.951555,1.08487,84.0707,0.000875184,6.45223,6.66816,34.693,0.220433,0.367624,0.544943,8.02686,8.5208e-05,, , 1.66498,10.5072,0.948155,66.1026,21.4208,34.693,0.220433,1.2825,0.527033,0.322039,0.0634942,0.183419,1.14651,8.02686,8.5208e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1414,0.00846748,1.56158,20.6299,0.0208187,3.83941
