Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77716,0,1.2223,0.0027559,0.038555,0,0.107159,3.59827e-06,0.102963,0,0.952422,0.002728,0.011414,0,0.0876101,3.51907e-06,, , 0.056991,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002728,0.000919579,0.00692973,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,3.51907e-06,0.0545126
2,3.22925,3.2693,15.5553,5100.09,0.111111,0.134732,2.55517,7.20272,0.835418,0.875465,14.7251,5100.08,0.0478143,0.0714356,1.17142,0.900338,, , 0.213462,1.37476,0.122661,5.00969,1.5742,14.7251,5100.08,0.0235251,0.0713068,0.0396159,0.00832731,0.00635559,0.124006,1.17142,0.900338,1.39457
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000701474,0.0554144,0,0.111504,4.28353e-06,0.102899,0,1.23285,0.000694499,0.0114122,0,0.0876581,4.20433e-06,, , 0.0570125,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000694499,0.000987789,0.00693147,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,4.20433e-06,0.0585562
2,14.3222,14.4141,11.3432,0.00621502,0.385271,0.440456,3.58599,3.77641e-05,3.46742,3.55934,9.61665,0.00590584,0.123241,0.178426,2.71755,1.95346e-06,, , 0.488559,6.25664,0.281557,15.039,8.87695,9.61665,0.00590584,0.0155217,0.160187,0.122412,0.0190667,0.00836733,0.51324,2.71755,1.95346e-06,0.920125
3,3.94363,3.98377,7.27461,0.0127483,0.124369,0.148842,2.83018,7.55729e-05,0.835431,0.875567,6.41644,0.0121299,0.0465275,0.0710007,1.10065,7.81942e-06,, , 0.213661,1.37476,0.122576,5.19895,2.83585,6.41644,0.0121299,0.0293457,0.0696714,0.0396159,0.0082409,0.0073045,0.152882,1.10065,7.81942e-06,1.73961
