Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77717,0,1.2223,0.0027559,0.0385567,0,0.107159,3.60127e-06,0.102972,0,0.952422,0.002728,0.0114157,0,0.0876101,3.52207e-06,, , 0.0570004,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002728,0.000919579,0.00693143,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,3.52207e-06,0.0545126
2,3.22909,3.26913,15.5549,5700.09,0.111067,0.134832,2.53105,5.92097,0.835255,0.875295,14.7247,5700.09,0.0477704,0.0715353,1.1473,0.74012,, , 0.213128,1.37476,0.122661,5.00969,1.5742,14.7247,5700.09,0.0235251,0.0713804,0.0396159,0.00830943,0.00635559,0.124006,1.1473,0.74012,1.39457
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554145,0,0.111504,3.3676e-06,0.102902,0,1.23285,0.000681999,0.0114123,0,0.0876581,3.2884e-06,, , 0.0570151,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693156,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.2884e-06,0.0585562
2,14.3222,14.4141,11.3433,0.00651525,0.385323,0.440451,3.586,5.05448e-05,3.46743,3.55935,9.61675,0.00620607,0.123293,0.178421,2.71755,2.75225e-06,, , 0.488578,6.25664,0.281557,15.039,8.87695,9.61675,0.00620607,0.0155217,0.160225,0.122412,0.0190762,0.00836733,0.51324,2.71755,2.75225e-06,0.920125
3,3.94362,3.98375,7.27423,0.0134192,0.12421,0.14876,2.81811,0.000134449,0.835416,0.875552,6.41606,0.0128009,0.0463688,0.0709189,1.08858,1.5179e-05,, , 0.213631,1.37476,0.122576,5.19895,2.83585,6.41606,0.0128009,0.0293457,0.0694504,0.0396159,0.00822143,0.0073045,0.152882,1.08858,1.5179e-05,1.73961
