Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72482,0,1.81752,0.000362419,0.0554174,0,0.111504,1.95255e-06,0.102917,0,1.23285,0.000355444,0.0114153,0,0.0876581,1.87335e-06,, , 0.0570305,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000355444,0.000987789,0.00693451,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,1.87335e-06,0.0585562
2,14.3229,14.4149,11.3423,0.00225705,0.384413,0.439922,3.50291,9.98193e-06,3.46814,3.5602,9.61574,0.00194787,0.122382,0.177891,2.63447,2.17074e-07,, , 0.490137,6.25664,0.281557,15.039,8.87695,9.61574,0.00194787,0.0155217,0.158888,0.122412,0.018973,0.00836733,0.51324,2.63447,2.17074e-07,0.920125
3,3.94377,3.98394,7.27444,0.00440145,0.124336,0.148909,2.81811,1.64314e-05,0.835569,0.875736,6.41627,0.00378309,0.0464943,0.0710671,1.08858,4.26742e-07,, , 0.213968,1.37476,0.122576,5.19895,2.83585,6.41627,0.00378309,0.0293457,0.0697131,0.0396159,0.00823245,0.0073045,0.152882,1.08858,4.26742e-07,1.73961
4,5.81937,5.90611,7.76462,0.00577997,0.201704,0.251803,5.44113,2.82312e-05,1.02246,1.10919,6.41381,0.00454326,0.0870697,0.13717,1.98311,5.49061e-07,, , 0.425562,1.4674,0.238688,8.71495,4.15019,6.41381,0.00454326,0.0584488,0.135887,0.072218,0.016134,0.0115958,0.228027,1.98311,5.49061e-07,3.46485
5,1.42553,1.45743,7.03589,0.0168998,0.0601372,0.0785825,7.62983,5.53335e-05,0.251712,0.283611,5.50007,0.0144263,0.0302241,0.0486693,0.715998,1.63177e-06,, , 0.156658,0.291019,0.0876438,6.27073,1.45379,5.50007,0.0144263,0.116473,0.0501779,0.0227841,0.0059314,0.017268,0.0652687,0.715998,1.63177e-06,6.90454
6,2.28523,2.35134,8.43842,0.019769,0.103134,0.139997,15.2594,0.000105971,0.40376,0.469868,5.50105,0.0148221,0.0595305,0.0963934,1.43198,1.83133e-06,, , 0.313119,0.387537,0.172973,11.9448,2.43759,5.50105,0.0148221,0.232886,0.0997393,0.0443615,0.0118231,0.0309699,0.101966,1.43198,1.83133e-06,13.8055
7,0.448097,0.449855,9.57539,0.0213401,0.0238664,0.0274771,49.3574,0.000193432,0.366516,0.368274,0.0128947,0.00440982,0.0123806,0.0159912,0.194678,1.183e-06,, , 0.00875446,0.72115,0.00488577,12.0317,0.252186,0.0128947,0.00440982,0.827824,0.00977069,0.0174337,0.00116741,0.106011,0.0447805,0.194678,1.183e-06,49.0734
8,0.027454,0.0276666,0.0180085,6.21805e-05,0.000486806,0.000511676,0.0602445,2.49714e-07,0.00177504,0.00198768,0.00203757,4.15137e-05,6.70427e-05,9.19124e-05,0.000225339,1.50355e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203757,4.15137e-05,0.00101147,5.65328e-05,8.41608e-05,1.82615e-05,0.000319475,0.000672753,0.000225339,1.50355e-08,0.0599602
Total,35.9971,28.5913,53.2666,0.0708719,0.953494,1.0872,84.1805,0.000411583,6.45284,6.66887,34.6947,0.0443295,0.369564,0.547274,8.13671,7.72735e-06,, , 1.66631,10.5072,0.948155,66.1026,21.4208,34.6947,0.0443295,1.2825,0.531168,0.322039,0.063631,0.183419,1.14651,8.13671,7.72735e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13858,0.0084799,1.56388,20.3701,0.0208939,3.85329
