Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000688974,0.0554128,0,0.111504,2.69654e-06,0.102884,0,1.23285,0.000681999,0.0114107,0,0.0876581,2.61733e-06,, , 0.0569978,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00692995,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,2.61733e-06,0.0585562
2,14.3222,14.4141,11.3432,0.00709829,0.385237,0.440416,3.58599,0.000176278,3.46744,3.5594,9.61664,0.00678912,0.123207,0.178385,2.71755,1.06106e-05,, , 0.488637,6.25664,0.281557,15.039,8.87695,9.61664,0.00678912,0.0155217,0.160114,0.122412,0.0190658,0.00836733,0.51324,2.71755,1.06106e-05,0.920125
3,3.94368,3.98383,7.27423,0.0134835,0.124251,0.148851,2.81811,9.93605e-05,0.83548,0.875625,6.41606,0.0128651,0.0464098,0.0710089,1.08858,1.07929e-05,, , 0.213769,1.37476,0.122576,5.19895,2.83585,6.41606,0.0128651,0.0293457,0.0695813,0.0396159,0.00822153,0.0073045,0.152882,1.08858,1.07929e-05,1.73961
4,5.81967,5.90643,7.76487,0.0274457,0.201736,0.251571,5.4653,0.000120956,1.02276,1.10951,6.41405,0.026209,0.0871024,0.136937,2.00729,2.37302e-05,, , 0.426186,1.4674,0.238688,8.71495,4.15019,6.41405,0.026209,0.0584488,0.135662,0.072218,0.0161592,0.0115958,0.228027,2.00729,2.37302e-05,3.46485
5,1.42544,1.45734,7.03576,0.0509433,0.0600613,0.0785056,7.62983,9.59053e-05,0.251614,0.283518,5.49993,0.0484699,0.0301482,0.0485925,0.715994,2.19176e-05,, , 0.156469,0.291019,0.0876438,6.27073,1.45379,5.49993,0.0484699,0.116473,0.0500322,0.0227841,0.00592435,0.017268,0.0652687,0.715994,2.19176e-05,6.90454
6,2.28493,2.35099,8.43824,0.0977881,0.102888,0.139702,15.2416,0.000140536,0.403466,0.469521,5.50087,0.0928413,0.0592846,0.0960979,1.41421,3.63956e-05,, , 0.312477,0.387537,0.172973,11.9448,2.43759,5.50087,0.0928413,0.232886,0.0992164,0.0443615,0.0118046,0.0309699,0.101966,1.41421,3.63956e-05,13.8055
7,0.448094,0.449847,9.57535,0.121581,0.0238083,0.027378,49.3557,0.000204201,0.366513,0.368266,0.0128588,0.10465,0.0123225,0.0158922,0.192924,1.19527e-05,, , 0.00874219,0.72115,0.00488577,12.0317,0.252186,0.0128588,0.10465,0.827824,0.00961535,0.0174337,0.00116558,0.106011,0.0447805,0.192924,1.19527e-05,49.0734
8,0.027454,0.0276666,0.0179986,0.000187346,0.000486767,0.000511674,0.0602445,2.64027e-07,0.00177504,0.00198768,0.00202769,0.000166679,6.70032e-05,9.1911e-05,0.000225338,2.93491e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00202769,0.000166679,0.00101147,5.64998e-05,8.41608e-05,1.82537e-05,0.000319475,0.000672753,0.000225338,2.93491e-08,0.0599602
Total,35.9962,28.5902,53.2671,0.319216,0.953882,1.08693,84.2682,0.000840197,6.45193,6.66782,34.6953,0.292674,0.369952,0.547006,8.22442,0.000118046,, , 1.66436,10.5072,0.948155,66.1026,21.4208,34.6953,0.292674,1.2825,0.531208,0.322039,0.0637107,0.183419,1.14651,8.22442,0.000118046,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13639,0.00846218,1.56061,20.1741,0.0207867,3.83351
