Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72482,0,1.81752,0.000695224,0.0554161,0,0.111504,3.37347e-06,0.102917,0,1.23285,0.000688249,0.011414,0,0.0876581,3.29426e-06,, , 0.0570305,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000688249,0.000987789,0.00693325,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29426e-06,0.0585562
2,14.3224,14.4144,11.3432,0.00663711,0.385244,0.440474,3.58599,7.41186e-05,3.46771,3.5597,9.61663,0.00632793,0.123214,0.178443,2.71754,4.22561e-06,, , 0.489211,6.25664,0.281557,15.039,8.87695,9.61663,0.00632793,0.0155217,0.16018,0.122412,0.0190643,0.00836733,0.51324,2.71754,4.22561e-06,0.920125
3,3.9437,3.98387,7.27391,0.0142152,0.124137,0.14883,2.80603,0.000161527,0.835504,0.875666,6.41574,0.0135969,0.0462953,0.0709888,1.0765,1.85637e-05,, , 0.213834,1.37476,0.122576,5.19895,2.83585,6.41574,0.0135969,0.0293457,0.0694628,0.0396159,0.0082054,0.0073045,0.152882,1.0765,1.85637e-05,1.73961
4,5.81944,5.90618,7.76451,0.0234769,0.20152,0.25156,5.41695,5.02605e-05,1.02252,1.10927,6.4137,0.0222402,0.0868862,0.136926,1.95894,6.05638e-06,, , 0.425704,1.4674,0.238688,8.71495,4.15019,6.4137,0.0222402,0.0584488,0.135471,0.072218,0.0161228,0.0115958,0.228027,1.95894,6.05638e-06,3.46485
5,1.42536,1.45725,7.03542,0.0498351,0.0598842,0.0783457,7.62094,8.58811e-05,0.251536,0.283423,5.4996,0.0473617,0.0299711,0.0484326,0.707101,1.69055e-05,, , 0.156296,0.291019,0.0876438,6.27073,1.45379,5.4996,0.0473617,0.116473,0.0497125,0.0227841,0.00590705,0.017268,0.0652687,0.707101,1.69055e-05,6.90454
6,2.28517,2.35127,8.43829,0.0845733,0.102908,0.13969,15.2416,0.000120625,0.4037,0.469802,5.50092,0.0796264,0.0593044,0.0960865,1.41421,1.64852e-05,, , 0.312983,0.387537,0.172973,11.9448,2.43759,5.50092,0.0796264,0.232886,0.0992197,0.0443615,0.0118097,0.0309699,0.101966,1.41421,1.64852e-05,13.8055
7,0.448094,0.449848,9.57533,0.0770642,0.0237547,0.0272822,49.3539,0.000199547,0.366514,0.368267,0.0128358,0.0601339,0.0122688,0.0157963,0.19117,7.29811e-06,, , 0.00874525,0.72115,0.00488577,12.0317,0.252186,0.0128358,0.0601339,0.827824,0.00946706,0.0174337,0.0011644,0.106011,0.0447805,0.19117,7.29811e-06,49.0734
8,0.027454,0.0276666,0.0180085,0.000296818,0.000486806,0.000511676,0.0602445,2.76373e-07,0.00177504,0.00198768,0.00203757,0.000276151,6.70429e-05,9.19125e-05,0.000225339,4.16942e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00203757,0.000276151,0.00101147,5.65331e-05,8.41608e-05,1.82615e-05,0.000319475,0.000672753,0.000225339,4.16942e-08,0.0599602
Total,35.9965,28.5905,53.2662,0.256794,0.953351,1.08669,84.1972,0.000695609,6.45217,6.66811,34.6943,0.230251,0.36942,0.546765,8.15335,7.28705e-05,, , 1.66488,10.5072,0.948155,66.1026,21.4208,34.6943,0.230251,1.2825,0.530504,0.322039,0.0636433,0.183419,1.14651,8.15335,7.28705e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13817,0.00846669,1.56144,20.334,0.0208139,3.83853
