

TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
3.25151,0.0144041,2.63377,113.689,0.0304797,5.57316
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77717,0,1.2223,0.0027559,0.0385561,0,0.107159,3.14379e-06,0.10297,0,0.952422,0.002728,0.0114151,0,0.0876101,3.06459e-06,, , 0.056998,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002728,0.000919579,0.00693084,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,3.06459e-06,0.0545126
2,3.22916,3.26921,15.5552,5600.09,0.110955,0.134702,2.54311,5.60719,0.835332,0.875379,14.725,5600.08,0.0476589,0.0714059,1.15936,0.700897,, , 0.213283,1.37476,0.122661,5.00969,1.5742,14.725,5600.08,0.0235251,0.0711384,0.0396159,0.00831046,0.00635559,0.124006,1.15936,0.700897,1.39457
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000814577,0.00801445,0,0.0126879,1.24107e-06,0.0942646,0,0.77161,0.000808291,0.00172634,0,0.00407419,1.23695e-06,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000808291,0.000737684,0.000619702,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,1.23695e-06,0.0437299
2,1.84624,1.85553,12.4812,0.0367851,0.0203483,0.0248285,1.56951,7.26003e-06,0.454518,0.463807,12.1215,0.0351162,0.00923396,0.0137141,0.187862,6.58564e-07,, , 0.18464,0.636203,0.0974825,2.90726,0.880139,12.1215,0.0351162,0.0235251,0.00982904,0.0112632,0.00185583,0.00150492,0.020186,0.187862,6.58564e-07,1.39457
3,0.701537,0.710768,25.0915,0.137713,0.0103382,0.0138562,5.65706,1.17458e-05,0.166517,0.175748,24.2293,0.131037,0.00601168,0.00952964,0.133681,1.88986e-06,, , 0.135654,0.137399,0.0692132,3.91314,0.596216,24.2293,0.131037,0.0931907,0.00789057,0.00629075,0.00136,0.0035012,0.00877457,0.133681,1.88986e-06,5.52435
4,0.224651,0.225148,3.24615,0.238172,0.00311449,0.00358711,22.1178,1.89249e-05,0.171099,0.171596,0.0280388,0.212424,0.00164911,0.00212174,0.0251873,2.03609e-06,, , 0.00753633,0.331299,0.00386066,5.0781,0.163341,0.0280388,0.212424,0.372521,0.00112934,0.00247316,0.000168354,0.0120861,0.00384767,0.0251873,2.03609e-06,22.0831
5,0.0151653,0.0152212,0.0113349,0.000997621,8.93248e-05,9.79257e-05,0.0479929,4.79147e-08,0.0011746,0.00123052,0.00248683,0.000941744,1.7806e-05,2.6407e-05,4.49642e-05,1.12637e-08,, , 0.000942041,0.000974245,0.000488832,0.0502961,0.00807581,0.00248683,0.000941744,0.000809368,1.62432e-05,2.37605e-05,4.2094e-06,7.14703e-05,9.4254e-05,4.49642e-05,1.12637e-08,0.0479794
Total,7.25856,2.80666,41.6694,0.414482,0.0419048,0.0423697,29.4051,3.92197e-05,0.887574,0.812382,37.1529,0.380327,0.0186389,0.0253919,0.350849,5.83273e-06,, , 0.37966,1.11044,0.20986,16.009,2.03413,37.1529,0.380327,0.490784,0.0194849,0.0208889,0.00365704,0.0173836,0.0358042,0.350849,5.83273e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.59218,0.0191758,0.900362,118.903,0.0254886,1.19677
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72477,0,1.81752,0.000688974,0.0554121,0,0.111504,3.37251e-06,0.102876,0,1.23285,0.000681999,0.01141,0,0.0876581,3.29331e-06,, , 0.0569894,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00692925,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.29331e-06,0.0585562
2,14.3222,14.4141,11.3431,0.00630571,0.385295,0.440539,3.58599,4.34019e-05,3.46741,3.55934,9.61662,0.00599653,0.123264,0.178508,2.71754,2.30582e-06,, , 0.488551,6.25664,0.281557,15.039,8.87695,9.61662,0.00599653,0.0155217,0.160297,0.122412,0.0190635,0.00836733,0.51324,2.71754,2.30582e-06,0.920125
3,3.94361,3.98375,7.27419,0.0128765,0.124169,0.14869,2.81811,8.49721e-05,0.835413,0.875551,6.41603,0.0122581,0.0463272,0.070848,1.08857,8.99432e-06,, , 0.213628,1.37476,0.122576,5.19895,2.83585,6.41603,0.0122581,0.0293457,0.0693396,0.0396159,0.00821979,0.0073045,0.152882,1.08857,8.99432e-06,1.73961
4,5.82001,5.90676,7.76533,0.0227886,0.201647,0.250802,5.48949,4.79067e-05,1.02309,1.10985,6.41452,0.0215519,0.0870128,0.136168,2.03147,5.46792e-06,, , 0.426855,1.4674,0.238688,8.71495,4.15019,6.41452,0.0215519,0.0584488,0.134757,0.072218,0.0162066,0.0115958,0.228027,2.03147,5.46792e-06,3.46485
5,1.4258,1.45771,7.03623,0.0523327,0.0602867,0.0786782,7.63872,0.000110235,0.251974,0.283893,5.50041,0.0498593,0.0303735,0.048765,0.724887,2.90825e-05,, , 0.1572,0.291019,0.0876438,6.27073,1.45379,5.50041,0.0498593,0.116473,0.0504058,0.0227841,0.00594863,0.017268,0.0652687,0.724887,2.90825e-05,6.90454
6,2.28535,2.35149,8.4386,0.0813617,0.103297,0.14011,15.2594,0.00012077,0.403882,0.470027,5.50122,0.0764148,0.0596932,0.096506,1.43199,1.66302e-05,, , 0.313396,0.387537,0.172973,11.9448,2.43759,5.50122,0.0764148,0.232886,0.0999971,0.0443615,0.0118406,0.0309699,0.101966,1.43199,1.66302e-05,13.8055
7,0.448097,0.449857,9.57543,0.0891052,0.0238344,0.027383,49.3592,0.000200788,0.366516,0.368276,0.0129394,0.0721749,0.0123486,0.0158972,0.196433,8.53948e-06,, , 0.0087551,0.72115,0.00488577,12.0317,0.252186,0.0129394,0.0721749,0.827824,0.0096424,0.0174337,0.0011697,0.106011,0.0447805,0.196433,8.53948e-06,49.0734
8,0.027454,0.0276666,0.0180145,0.00032342,0.00048683,0.000511677,0.0602445,2.80394e-07,0.00177504,0.00198768,0.00204361,0.000302753,6.70669e-05,9.19132e-05,0.000225339,4.57159e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204361,0.000302753,0.00101147,5.6553e-05,8.41608e-05,1.82664e-05,0.000319475,0.000672753,0.000225339,4.57159e-08,0.0599602
Total,35.9972,28.5913,53.2685,0.265783,0.954428,1.08671,84.3226,0.000611727,6.45293,6.66893,34.6966,0.23924,0.370497,0.546785,8.27879,7.43593e-05,, , 1.66645,10.5072,0.948155,66.1026,21.4208,34.6966,0.23924,1.2825,0.531424,0.322039,0.0638185,0.183419,1.14651,8.27879,7.43593e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13504,0.00846576,1.56127,20.0542,0.0208083,3.8375
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000814577,0.00801445,0,0.0126879,1.24107e-06,0.0942646,0,0.77161,0.000808291,0.00172634,0,0.00407419,1.23695e-06,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000808291,0.000737684,0.000619702,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,1.23695e-06,0.0437299
2,1.84624,1.85553,12.4812,0.0367851,0.0203483,0.0248285,1.56951,7.26003e-06,0.454518,0.463807,12.1215,0.0351162,0.00923396,0.0137141,0.187862,6.58564e-07,, , 0.18464,0.636203,0.0974825,2.90726,0.880139,12.1215,0.0351162,0.0235251,0.00982904,0.0112632,0.00185583,0.00150492,0.020186,0.187862,6.58564e-07,1.39457
3,0.701537,0.710768,25.0915,0.137713,0.0103382,0.0138562,5.65706,1.17458e-05,0.166517,0.175748,24.2293,0.131037,0.00601168,0.00952964,0.133681,1.88986e-06,, , 0.135654,0.137399,0.0692132,3.91314,0.596216,24.2293,0.131037,0.0931907,0.00789057,0.00629075,0.00136,0.0035012,0.00877457,0.133681,1.88986e-06,5.52435
4,0.224651,0.225148,3.24615,0.238172,0.00311449,0.00358711,22.1178,1.89249e-05,0.171099,0.171596,0.0280388,0.212424,0.00164911,0.00212174,0.0251873,2.03609e-06,, , 0.00753633,0.331299,0.00386066,5.0781,0.163341,0.0280388,0.212424,0.372521,0.00112934,0.00247316,0.000168354,0.0120861,0.00384767,0.0251873,2.03609e-06,22.0831
5,0.0151653,0.0152212,0.0113349,0.000997621,8.93248e-05,9.79257e-05,0.0479929,4.79147e-08,0.0011746,0.00123052,0.00248683,0.000941744,1.7806e-05,2.6407e-05,4.49642e-05,1.12637e-08,, , 0.000942041,0.000974245,0.000488832,0.0502961,0.00807581,0.00248683,0.000941744,0.000809368,1.62432e-05,2.37605e-05,4.2094e-06,7.14703e-05,9.4254e-05,4.49642e-05,1.12637e-08,0.0479794
Total,7.25856,2.80666,41.6694,0.414482,0.0419048,0.0423697,29.4051,3.92197e-05,0.887574,0.812382,37.1529,0.380327,0.0186389,0.0253919,0.350849,5.83273e-06,, , 0.37966,1.11044,0.20986,16.009,2.03413,37.1529,0.380327,0.490784,0.0194849,0.0208889,0.00365704,0.0173836,0.0358042,0.350849,5.83273e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.59218,0.0191758,0.900362,118.903,0.0254886,1.19677
